Bavarian,German,Is translation acceptable?
sidatlantik,südatlantik,yes
dörlesberg,dörlesbergs,yes
dramatischen,dramatische,yes
fischweiher,fischweihern,yes
gailbach,gailbachs,yes
garibaldi,garibaldis,yes
fremdsprochige,fremdsprachige,yes
friesische,friesischen,yes
erzengel,erzengels,yes
erzengl,erzengel,yes
eschenau,eschenaus,yes
entgleist,entgleiste,yes
barocks,barockes,yes
babenberger,babenbergern,yes
baikalsee,baikalsees,yes
befestigts,befestigtes,yes
aquädukt,aquädukts,yes
cpu,cpus,yes
berihmtheit,berühmtheit,yes
bessern,besseren,yes
boote,booten,yes
bränd,brände,yes
blaum,blauem,yes
bohnlinie,bahnlinie,yes
kopfend,kopfende,yes
konzern,konzerns,yes
jakobsweg,jakobswegs,yes
japanischs,japanisches,yes
katholischs,katholisches,yes
jose,josé,yes
mathematischs,mathematisches,yes
masson,massons,yes
grenzts,grenzt,yes
gschäftsbereich,geschäftsbereich,yes
hochfläch,hochfläche,yes
hierarchische,hierarchischen,yes
zürich,zürichs,yes
weinbau,weinbaus,yes
venezuela,venezuelas,yes
ursprung,ursprungs,yes
spiele,spielen,yes
sid,süd,yes
serbisch,serbische,yes
senat,senats,yes
schwäbisch,schwäbische,yes
sardinien,sardiniens,yes
rumänien,rumäniens,yes
monate,monaten,yes
romane,romanen,yes
graben,grabens,yes
freis,freies,yes
estland,estlands,yes
einwohner,einwohnern,yes
busse,bussen,yes
passt,passte,yes
bekanntestn,bekanntesten,yes
kantonen,kantone,yes
lebewesn,lebewesen,yes
unobhängige,unabhängige,yes
bernardo,bernard,yes
drittgreßte,drittgrößte,yes
isländischn,isländischen,yes
earichtung,errichtung,yes
landesweitn,landesweiten,yes
jütland,jütlands,yes
ortskern,ortskerns,yes
departement,departements,yes
eawähnung,erwähnung,yes
aubach,aubachs,yes
easetzt,ersetzt,yes
archipel,archipels,yes
landesgrenz,landesgrenze,yes
unobhängigkeit,unabhängigkeit,yes
onsiedlung,ansiedlung,yes
treffn,treffen,yes
fichtelgebirge,fichtelgebirges,yes
massiv,massivs,yes
lohrbach,lohrbachs,yes
kurfürstentum,kurfürstentums,yes
gabun,gabuns,yes
gambia,gambias,yes
mühlbach,mühlbachs,yes
eriesee,eriesees,yes
eritrea,eritreas,yes
michelbach,michelbachs,yes
teit,teilt,yes
ukrainische,ukrainisch,yes
udine,udines,yes
mosambik,mosambiks,yes
foatsetzung,fortsetzung,yes
ständign,ständigen,yes
festival,festivals,yes
konflikt,konflikts,yes
himalaya,himalayas,yes
kuba,kubas,yes
observatorium,observatoriums,yes
landgericht,landgerichts,yes
gouvernement,gouvernements,yes
grundstick,grundstück,yes
bundesministerium,bundesministeriums,yes
beziaksmuseum,bezirksmuseum,yes
andalusien,andalusiens,yes
wohnd,wohnt,yes
odenwald,odenwalds,yes
westpommern,westpommerns,yes
pflegt,pflegte,yes
pflegamt,pflegamts,yes
peru,perus,yes
ortszentrum,ortszentrums,yes
netzwerk,netzwerks,yes
naturpark,naturparks,yes
objekt,objekte,yes
norwegische,norwegischen,yes
steigerwald,steigerwalds,yes
uruguay,uruguays,yes
urkundliche,urkundlich,yes
sitze,sitzen,yes
sidsudan,südsudan,yes
siedlungsgebiet,siedlungsgebiete,yes
somalia,somalias,yes
solang,solange,yes
studium,studiums,yes
tansania,tansanias,yes
rica,ricas,yes
richmond,richmonds,yes
ring,rings,yes
religiese,religiöse,yes
volkstheater,volkstheaters,yes
qualtinger,qualtingers,yes
vermont,vermonts,yes
verlag,verlags,yes
seeland,seelands,yes
shakespeare,shakespeares,yes
schlesien,schlesiens,yes
emanuel,emanuels,yes
diego,diegos,yes
départements,département,yes
dylan,dylans,yes
format,formats,yes
finnische,finnischen,yes
flughafen,flughafens,yes
faso,fasos,yes
bekannts,bekanntes,yes
algerien,algeriens,yes
apennin,apennins,yes
aserbaidschan,aserbaidschans,yes
burlington,burlingtons,yes
castle,castles,yes
canyon,canyons,yes
club,clubs,yes
college,colleges,yes
berihmt,berühmt,yes
kernort,kernorts,yes
kreuzanger,kreuzangers,yes
komitat,komitats,yes
jacob,jakob,yes
kap,kaps,yes
kastell,kastells,yes
kathi,kathis,yes
kauf,kaufs,yes
kalabrien,kalabriens,yes
mathias,matthias,yes
mantua,mantuas,yes
marathon,marathons,yes
madagaskar,madagaskars,yes
kurpark,kurparks,yes
königreich,königreichs,yes
leichte,leichtem,yes
leningrad,leningrads,yes
gotland,gotlands,yes
hofmark,hofmarkt,yes
guinea,guineas,yes
guldn,gulden,yes
beide,beiden,yes
großbritannien,großbritanniens,yes
streck,strecke,yes
rhein,rheins,yes
ozean,ozeans,yes
museum,museums,yes
dialekt,dialekts,yes
dialekte,dialekten,yes
mexico,mexiko,yes
land,lands,yes
jesus,jesu,yes
japan,japans,yes
italienische,italienisches,yes
island,islands,yes
bestn,besten,yes
gonze,ganze,yes
england,englands,yes
tod,tode,yes
deitschland,deutschland,yes
bayerischen,bayerischer,yes
alphabet,alphabets,yes
spessart,spessarts,yes
see,sees,yes
alabama,alabamas,yes
nestroy,nestroys,yes
meistn,meisten,yes
system,systems,yes
nochdem,nachdem,yes
australien,australiens,yes
streckn,strecken,yes
programm,programms,yes
wichtigste,wichtigsten,yes
weg,wege,yes
punkt,punkte,yes
setzt,setzte,yes
schiff,schiffe,yes
foam,form,yes
chile,chiles,yes
bezirk,bezirks,yes
kloster,klosters,yes
konzept,konzepts,yes
lauf,laufs,yes
letzte,letzten,yes
grenzt,grenzte,yes
gruppm,gruppe,yes
hof,hofs,yes
indien,indiens,yes
mendlingposs,mendlingpass,idk
guamblin,guamblín,idk
enklave,exklave,idk
strietboch,strietbach,idk
grafanau,grafenau,idk
kim,kimm,idk
weitare,weitere,yes
orte,ortes,yes
frankreich,frankreichs,yes
englischn,englischen,yes
tennessee,tennessees,yes
arrondissement,arrondissements,yes
schriftn,schriften,yes
marie,maria,yes
klettvaschluss,klettverschluss,yes 
meearesbiologischs,meeresbiologisches,yes 
amateurboxa,amateurboxer,yes 
bauwiadigkeit,bauwürdigkeit,yes 
recens,rezent,yes
rangstuafa,rangstufe,yes
weihnachtsdog,weihnachtstag,yes
ochde,achte,yes
bochwiesn,bachwiese,yes
computagrafik,computergrafik,yes
vikarstroß,vikarstraße,yes
natuaschuzgebiet,naturschutzgebiet,yes
bitsch,bitche,yes
gondelteich,gondelteiches,yes
waldhäuserstroß,waldhäuserstraße,yes
kirchahistoriker,kirchenhistoriker,yes
visueje,visuelle,yes
ländlicha,ländlicher,yes
kriegsunterlogn,kriegsunterlagen,yes
eafoadert,erfordert,yes
controlla,controller,yes
marskrata,marskrater,yes
winnipegosissää,winnipegosissee,yes
demz'foige,demzufolge,yes
hofnindustrie,hafenindustrie,yes
postvabindung,postverbindung,yes
markierunga,markierungen,yes
foliobend,foliobände,yes
haundorfa,haundorfer,yes
spieglkarpfn,spiegelkarpfen,yes
reamischen,römischen,yes
vabringt,verbringt,yes
privatbsiz,privatbesitz,yes
organist,organisten,yes
wolfsgrund,wolfsgrundes,yes
pfaffenberg,pfaffenberges,yes
örtli,örtlich,yes
napoleonischa,napoleonischer,yes
ochsenkopf,ochsenkopfes,yes
sitzplatz,sitzplätze,yes
schöna,schöner,yes
sandstränd,sandstränden,yes
dämm,dämmen,yes
freigländ,freigelände,yes
apostolischa,apostolischer,yes
längsta,längster,yes
landguad,landgut,yes
gschaffne,geschaffene,yes
holzland,holzlandes,yes
etwa'n,etwa,yes
zeitunga,zeitungen,yes
südlicha,südlicher,yes
romanischa,romanischer,yes
alps,alpen,yes
nördlicha,nördlicher,yes
diafte,dürfte,yes
obweichnde,abweichende,yes
woidlichtung,waldlichtung,yes
isarufa,isarufer,yes
bisha,bisher,yes
entspringandn,entspringenden,yes
umwaundlt,umwandelt,yes
bantusproch,bantusprache,yes
noadmazedonien,nordmazedoniens,yes
grechnat,gerechnet,yes
sonthofa,sonthofen,yes
zentroimassiv,zentralmassiv,yes
existiean,existieren,yes
stroßnnetz,straßennetz,yes
säuma,säumer,yes
stausään,stauseen,yes
moßeihheit,maßeinheit,yes
kronknhaus,krankenhaus,yes
konfessiona,konfessionen,yes
départementsstroß,départementsstraße,yes
hafenlohrtoi,hafenlohrtal,yes
landstroß,landstraße,yes
imscht,imst,yes
rumänischa,rumänischer,yes
standa,stander,yes
franzosenkopf,franzosenkopfes,yes
entwässan,entwässern,yes
markanta,markanter,yes
nationalstroß,nationalstraße,yes
komitatssitz,komitatssitzes,yes
programmiersproch,programmiersprache,yes
schwarzbach,schwarzbaches,yes
bezeichnatn,bezeichneten,yes
bewoidung,bewaldung,yes
dänischa,dänischer,yes
beinoh,beinahe,yes
wohnsiedlung,wohnsiedlungen,yes
ogrenzt,angrenzt,yes
protestantischa,protestantischer,yes
pazifischa,pazifischer,yes
osterbach,osterbaches,yes
zuaglegt,zugelegt,yes
stimmlosa,stimmloser,yes
sitzplätz,sitzplätzen,yes
unendli,unendlich,yes
sumpfgebiet,sumpfgebietes,yes
sakrala,sakraler,yes
reaktiona,reaktionen,yes
reichsland,reichslandes,yes
schenka,schenker,yes
verwaltungsreform,verwaltungsreformen,yes
schloßberg,schlossberg,yes
dialektgebiet,dialektgebietes,yes
forschunga,forschungen,yes
flug,fluges,yes
franzesischs,französisches,yes
equator,äquators,yes
alemannischa,alemannischer,yes
afweisd,aufweist,yes
anonyma,anonymen,yes
buchenberg,buchenberges,yes
brasilianischa,brasilianischer,yes
kollegiatstift,kollegiatstiftes,yes
kaltenbach,kaltenbaches,yes
jugendorganisation,jugendorganisationen,yes
langsama,langsamer,yes
kummer,kumma,yes
landessproch,landessprache,yes
landhaus,landhauses,yes
lindenberg,lindenberges,yes
leitenda,leitender,yes
lehna,lehnen,yes
gräfenberg,gräfenberges,yes
gehöft,gehöftes,yes
wohna,wohnen,yes
wald,waldes,yes
südli,südlich,yes
selba,selber,yes
märtyra,märtyrer,yes
landshuad,landshut,yes
komet,kometen,yes
gut,gutes,yes
freistaat,freistaates,yes
find,findet,yes
bairisch,bayerisch,yes
amtssproch,amtssprache,yes
stroßn,straßen,yes
zuafliaßt,zufließt,yes
kernort,kernortes,yes
topografisch,topographisch,yes
greßare,größere,yes
akt,akten,yes
vawendet,verwendet,yes
steigerwald,steigerwaldes,yes
theatamanuskript,theatermanuskript,yes
steinberg,steinberges,yes
foigd,folgt,yes
krombach,krombaches,yes
orografisch,orographisch,yes
industriegebiet,industriegebietes,yes
großstädt,großstädten,yes
beziagt,bezieht,yes
beziehunga,beziehungen,yes
untascheidung,unterscheidung,yes
vafassungsrecht,verfassungsrecht,yes
boh,bahn,yes
weißa,weißer,yes
propst,propstes,yes
omersbach,omersbaches,yes
planunga,planungen,yes
odenwald,odenwaldes,yes
mühlbach,mühlbaches,yes
steinbach,steinbaches,yes
ries,rieses,yes
retta,retter,yes
versiona,versionen,yes
erlenbach,erlenbaches,yes
allgai,allgäu,yes
aubach,aubaches,yes
architekt,architekten,yes
bund,bundes,yes
bäch,bächen,yes
burgenland,burgenlandes,yes
bezeichna,bezeichner,yes
botanika,botaniker,yes
löst,lösen,yes
landratsamt,landratsamtes,yes
lohrbach,lohrbaches,yes
lechfeld,lechfeldes,yes
gotteshaus,gotteshauses,yes
graf,grafen,yes
gneigd,geneigt,yes
gsprochn,gesprochen,yes
geistlicha,geistlicher,yes
indischa,indischer,yes
hochstift,hochstiftes,yes
herz,herzen,yes
herzeg,herzöge,yes
schloss,schlosses,yes
amtli,amtlich,yes
komponist,komponisten,yes
klima,klimate,yes
hauptstod,hauptstadt,yes
via,vier,yes
dezemba,dezember,yes
berg,berges,yes
persona,personen,yes
forst,forstes,yes
gemarkung,gemarkungen,yes
glei,gleich,yes
liegt,liegen,yes
provinz,provinzen,yes
thema,themen,yes
rema,remer,yes
direkta,direkter,yes
countys,counties,yes
grouße,großes,yes
liegtaf,liegt,no
plündert,geplündert,no
tecnológica,tecnólogica,no
zehn,neun,no
cordoba,corda,idk
kuche,kuchls,idk
winta,winter,yes
estlichn,östlichen,yes
nationalpark,nationalparkes,yes
asteroid,asteroiden,yes
eigsetzt,eingesetzt,yes
buidung,bildung,yes
log,lage,yes
midgeliefat,mitgeliefert,yes 
lokoizeidung,lokalzeitung,yes
orglbaua,orgelbauer,yes
behabeagt,beherbergt,yes
bahnstromaunlogn,bahnstromanlagen,yes
niedbayerischn,niederbayerischen,yes
umgsiedld,umgesiedelt,yes
erbfoigekriags,erbfolgekrieges,yes
praktika,praktikers,yes
sauerbrunnenquej,sauerbrunnenquelle,yes
gschitzde,geschützte,yes
eastiamt,erstürmt,yes
kircharechtlichn,kirchenrechtlichen,yes
territorioirefoam,territorialreform,yes
vaschlommung,verschlammung,yes
pflonzt,gepflanzt,yes
territorioiprälatua,territorialprälatur,yes
duachgehndm,durchgehendem,yes
sailaufbachquej,sailaufbachquelle,yes
traditeaunsmarsch,traditionsmarsch,yes
vastädtarung,verstädterung,yes
stootsterritorium,staatsterritoriums,yes
sidwestlichsdn,südwestlichsten,yes
umkumma,umkamen,yes
durchsuacha,durchsuchen,yes
markgrof,markgrafen,yes
vaeinigd,vereinigt,yes
vaeinign,vereinigen,yes
postleitzoih,postleitzahl,yes
gsteigate,gesteigerte,yes
nomanswurzl,namenswurzel,yes
rias,rieser,yes
presidentschoftskandidatn,präsidentschaftskandidaten,yes
nimmd'n,nimmt,yes
ogeordnt,angeordnet,yes
zwoathechste,zweithöchste,yes
ortsmiddn,ortsmitte,yes
vamocht,vermacht,yes
meeareshäh,meereshöhe,yes
theräsienthoi,theresienthal,yes
middlzentrum,mittelzentrum,yes
stärungszonan,störungszone,yes
stäit,stellt,yes
bezeichnd'n,bezeichnet,yes
bewoidte,bewaldete,yes
vafassungsoagan,verfassungsorgan,yes
vaeffentlichte,veröffentlichte,yes
biogasonlog,biogasanlage,yes
popband,band,yes
unterbachern,oberbachern,yes
teilnemma,teilnehmen,yes
eheleit,eheleuten,yes
denkmoig'schützte,denkmalgeschützte,yes
hochplatoo,hochplateau,yes
weitara,weiterer,yes
guada,guter,yes
otei,anteil,yes
noadwestlicha,nordwestlicher,yes
westsidwestli,westsüdwestlich,yes
schliaßli,schließlich,yes
fruchtboan,fruchtbaren,yes
zuagwiesn,zugewiesen,yes
voabuid,vorbild,yes
fürstlich,fürstl,yes
fränkisch,ostfränkisch,yes
entdecka,entdeckers,yes
begrinda,begründer,yes
katholisch,katholiken,yes
siem,sieben,yes
oide,alte,yes
kinereich,königreich,yes
broad,breit,yes
joar,jahre,yes
quadratkilometa,quadratkilometern,yes
eascht,erst,yes
vaeffentlicht,veröffentlicht,yes
liegt,steht,yes
gnennt,benannt,yes
z'baun,bau,no
kert,gehört,no
liegt,lag,no
gründt,gegründet,no
obtrinnign,abtrünnigen,idk
roadorf,raindorf,idk
tauber,taubertal,idk
burgtheater,bürgertheater,idk
dofia,dafür,yes
spuit,spielt,yes
kemma,kommen,yes
st,sankt,yes
bedeit,bedeutet,yes
ortstei,ortsteiles,yes
gmoa,zona,yes
anzeignbladdl,anzeigenblatt,yes 
bevejkarungswochstum,bevölkerungswachstum,yes
ausbrenntn,ausgebrannten,yes
mechanisiadn,mechanisierten,yes
stehlesmui,stehlesmühle,yes
houchwossaschutzsystem,hochwasserschutzsystem,yes
voglmui,voglmühle,yes
iwanahm,übernahm,yes
doiflankn,talflanken,yes
nomansgeban,namensgebern,yes
mindungsdäidas,mündungsdeltas,yes
obhoitn,abhalten,yes
duachqueadn,durchquert,yes
noadnoadwestlicha,nordnordwestlicher,yes
gsomtfliaßstreckn,gesamtfließstrecke,yes
namansgembde,namensgebende,yes
kompfhondlunga,kampfhandlungen,yes
heerfiahra,heerführer,yes
kreishoamatpflega,kreisheimatpfleger,yes
biagabüros,bürgerbüros,yes
queaschnittsgstoitung,querschnittsgestaltung,yes
fuitaregeln,filterregeln,yes
strapaziat,strapazierten,yes
säähäh,seehöhe,yes
betonbrugg,betonbrücke,yes
kaufleid,kaufleuten,yes
gwähnli,gewöhnlich,yes
eihgstuafd,eingestuft,yes
zuageoadnd,zugeordnet,yes
klostakiach,klosterkirche,yes
riahd,rührt,yes
ongheat,angehört,yes
regionoiflughofn,regionalflughafen,yes
obgstuafd,abgestuft,yes
prägta,geprägter,yes
gwondlt,wandelte,yes
gstodlinie,küstenlinie,yes
bewoidts,bewaldetes,yes
bewoidtn,bewaldeten,yes
quejfliss,quellflüsse,yes
früchte,feldfrüchte,yes
geograf,geographen,yes
gwohnd,wohnten,yes
weatan,wörtern,yes
gstorm,gestorben,yes
tritt,ging,yes
bstenga,bestehen,yes
hofnstod,hafenstadt,yes
eihteit,eingeteilt,yes
ogsiedlt,angesiedelt,yes
buit,bietet,yes
friesisch,nordfriesisch,yes
altmühl,altmühltals,yes
afteit,aufgeteilt,yes
gschlossna,geschlossenen,yes
grässdn,größten,yes
weidan,weiteren,yes
sidestli,südöstlich,yes
plural,pluralwort,yes
italienisch,italien,yes
innahoib,innerhalb,yes
fiahn,führen,yes
ganze,gesamte,yes
popband,pop,no
ostgstod,ostküste,no
finnisch,finn,no
fischarei,fischfang,no
drei,fünf,no
main,mainufer,no
wolhynien,wolyn,idk
joar,jahren,yes
uma,zwei,yes
diesa,zeit,ni
worn,geworden,no
ois,eher,yes
spada,später,yes
landkreis,kreis,yes
woifoahtsort,wallfahrtsort,yes
nochrichtnsommlunga,nachrichtensammlungen,yes
gmessigd,gemäßigt,yes
hafenlohrtoispeicha,hafenlohrtalspeichers,yes
fliassnda,fließender,yes
vawoitungsgebietsrefoam,verwaltungsgebietsreform,yes
woivorschlog,wahlvorschlags,yes
odnwoidkroas,odenwaldkreis,yes
bsong,besagen,yes
mainbrugg,mainbrücken,yes
zweckvabond,zweckverbandes,yes
vakeahsflughäfn,verkehrsflughäfen,yes
sägmui,sägemühle,yes
hächnzug,höhenzuges,yes
breda,brettern,yes
gstifdd,stiftete,yes
rekoadmoasta,rekordmeister,yes
vafuigd,verfügt,yes
aufgonga,aufgegangen,yes
vafossungsendarung,verfassungsänderung,yes
zoinsysdem,zahlensystem,yes
vabindt'n,verbindet,yes
säkularisierung,säkularisation,yes
vorher,zuvor,yes
gmoasom,gemeinsam,yes
owapfoiz,oberpfalz,yes
städtpartnaschoftn,städtepartnerschaften,yes
vagreßat,vergrößert,yes
aißastn,äußersten,yes
zuaghearign,zugehörigen,yes
nochboaregiona,nachbarregionen,yes
vawoitungsrefoam,verwaltungsreform,yes
und,sowie,yes
fluss,bach,yes
beziak,parish,yes
eahoidn,erhalten,yes
etwa,knapp,yes
middlsinn,obersinn,no
triebna,getriebenen,no
dorffest,dorfmuseum,no
worn,erhoben,no
schwäbischn,schwaben,no
hod's,gab,no
boarische,deutsche,no
hoslbo,haselbach,idk
knopp,acht,no
gheat,gehörten,yes
fläch,river,no
gmocht,tat,yes
dessn,danach,yes
gmoa,stadt,yes
san,brachen,no
easchtn,wahlen,no
westlichn,nordwestlich,no
noch,wurde,no
zwoathechstglengne,zweithöchstgelegene,yes 
wossainstallatean,wasserinstallateuren,yes 
spuientwickla,spieleentwickler,yes
kloabuchstom,kleinbuchstabe,yes
buidden,gebildeten,yes
nochanonda,nacheinander,yes
schiffsanlageplätz,schiffsanlandungsplätze,yes
tennisolong,tennisanlagen,yes
bauanfiahra,bauernführer,yes
gütavakeah,güterverkehr,yes
ghearnda,gehörender,yes
großgmoana,großgemeinden,yes
bewoidda,bewaldeter,yes
fuaßboivaein,fußballverein,yes
eihgfiahd,eingeführt,yes
vawoitungsbeziake,verwaltungsbezirken,yes
valencia,valencianische,yes
ersetzt,abgelöst,yes
adria,adriatische,yes
joarhundad,jahrhunderts,yes
eihwohnazoih,einwohnerzahl,yes
schloss,wasserschloss,yes
ayurveda,ayurvedischen,no 
hitler,hitlerjugend,no
her,herleitet,no
bukdd,gebildet,idk
pfahofa,pfaffenhofen,idk
weiler,ort,idk
heiting,namen,mo
wos,beckens,no
oana,urkunde,idk
wiad,stehen,no
tiakn,bulgaren,no
ghobt,worden,no
csu,partei,no
an,general,no
bruck,verläuft,no
ortstei,bestand,no
amateurtheater,theater,yes
vagressade,vergrößerte,yes
zruckglegd,zurück,yes
ausgongana,abgegangenen,yes
wossagfoahn,wassergefahren,yes
zwoarahoib,zweieinhalb,yes
vawoxn,verwachsen,yes
teigmoa,teilgemeinde,yes
oanahoib,eineinhalb,yes
walser,walserdeutsch,yes
simbiagn,siebenbürgen,yes
iwawiengd,überwiegend,yes
schutzpatron,schutzheilige,yes
middloita,mittelalter,yes
gmoaedikt,gemeindeedikts,yes
schreibt,verfasst,yes
distrikt,region,yes
laubwoidgebiet,mischwaldgebiet,no 
hexda,höchster,no
hods'n,erhielt,no
heagstejd,her,no
ausdrong,ausgetragen,no
untafränkischn,unterfranken,no
august,oktober,no
bundesstroß,bundesautobahn,no
isl,isländisch,idk
tavagnasco,nomaglio,idk
weiler,ortsteil,idk
ogfonga,beginnend,yes
ortschoft,dorf,yes
ehemolige,comune,no
mid,zusammen,yes
gmoa,argeschi,no
es,außerdem,no
westlichn,südwesten,no
da,damaligen,no
gickelhäusa,baches,yes
katasträugmoana,katastralgemeinden,yes
gmoastroß,gemeindestraße,yes
wejdmoastaschoftn,weltmeisterschaften,yes
weißrussland,belarus,yes
gmoatei,gemeindeteile,yes
stodgmoa,stadtgemeinde,yes
schutzpatron,schutzheiliger,yes
buagamoasta,bürgermeister,yes
baut,errichtet,yes
km,kilometern,yes
emso,hunderdorf,no
mai,september,no
district,county,no
montana,valdôtaines,no
hoamatbund,nordgau,idk
aa,gemeinde,no
dessn,einwohner,no
innahoib,trug,no
easchtn,ausgedehnte,no
schauspuia,comedian,no
oatschoft,kannada,no
gmoa,drecheds,no
on,unterhalb,no
oipniwagäng,alpenübergängen,yes
heabeagsgut,halbhöfe,yes
gmoaroud,gemeinderat,yes
gmoapartnaschoft,gemeindepartnerschaft,yes
landgmoana,gemeinden,yes
solo,solokarrieren,yes
ortstei,gemeindeteil,yes
bayerischn,unterfränkischen,yes
nemfluss,nebengewässer,yes
kantone,wahlkreisen,yes
struktuariat,einstufig,no
hittnguat,rabenstein,no
midgmachd,teilnehmer,no
donaustauf,regensburg,no
sid,fernstraße,no
amerikanischa,kanadischer,no
hoha,erloschener,idk
worn,abgegangen,no
ortstei,gemarkung,no
nordwestli,westflanke,no
groußn,kreisstadt,no
landkroas,wüstung,no
vo,verwaltung,no
joahrhundat,bedeutung,no
wichtigste,bedeutendster,no
kinigliche,erhebungen,yes
autobohobfoaht,autobahnanschluss,yes
kiachspuisgmoa,kirchspielsgemeinde,yes
zammgwoxn,zusammengewachsen,yes
jugendorganisation,jugendvereinigung,yes
beaggmoaschoft,bergkommune,yes
nochbargemarkunga,nachbarorte,yes
amtssproch,verwaltungssprache,yes
gmoavabindungsstroßn,gemeindeverbindungsstraßen,yes
vawoitung,countyverwaltung,yes
ortstei,gemeindeteils,yes
nam,bezeichnung,yes
roman,feuilletonroman,yes
auffind'n,verschollen,no
mutmoßlichn,straftätern,no
wiattmbeag,württembergischen,no
jed's,alljährlich,no
indien,südwestindischen,no
languedoc,okzitanien,idk
blockbau,blockrandverbauung,idk
komponiat,bühnenmusik,idk
stootli,anerkannter,idk
banzenweiler,feuchtwangen,idk
gemarkung,gemeindegebiet,no
joarhundad,gestellt,yes
favoritn,städtisches,no
niamberga,mittelfranken,yes
gmoa,marktgemeinde,yes
ortstei,gemeindeteilen,yes
gmoa,ruralgemeinde,yes
unverwechselbaren,wegweisende,no
usa,vereinigten,no
bezirk,bezirkshauptstadt,no
sidn,territoriums,yes
westlichn,hahnenkamms,no
historischn,verwendungen,no
spezialzone,verwaltungsebene,yes
sitz,verwaltungssitze,yes
autor,schriftsteller,yes
kuavawoitung,tiefgarage,no
diafgarasch,kurverwaltung,no
alkohol,alkoholabhängigkeit,no
grouß,gemeindefreies,no
kema,eingegliedert,idk
sejbstständige,freiwillig,yes
noch,verbleibenden,no
ois,instrumentalis,no
