Alemannic,German,Is translation acceptable?
sitzbänk,sitzbänke,yes
sitzblätze,sitzplätze,no
turkmenischtan,turkmenistan,yes
karolingischa,karolingischen,yes
hölzeri,hölzerne,yes
frontale,frontalen,yes
fronlichnam,fronleichnam,yes
frontatriv,frontantrieb,yes
frontzeen,frontzähne,yes
friedesschluss,friedensschluss,yes
friedensförderig,friedensförderung,yes
friwerrende,freiwerdende,yes
frostdäg,frost,yes
fröst,frösten,yes
früehurban,frühurban,yes
friere,frieren,yes
früehchristlige,frühchristlichen,yes
früehbarock,frühbarocks,yes
frieseheim,friesenheim,yes
fuessballfans,fußballfans,yes
fuessballexperte,fußballexperte,yes
fuchstal,fuchstalgemeinden,idk
fuchsie,fuchsien,yes
fähigste,fähigsten,yes
fähigkeitszügniss,fähigkeitszeugnis,yes
funktionierendie,funktionierende,yes
fueßballsparte,fußballsparte,yes
fuessballwunder,fußballwunder,yes
frügische,phrygischen,yes
fründschaftsvertrag,friedensvertrag,no
fussballstadie,fußballstadien,yes
fußgängerbrugg,fußgängerbrücke,yes
fächerübergrifende,fächerübergreifende,yes
färnseherfolg,fernseherfolg,yes
färnsehjournalistin,fernsehjournalistin,yes
fusionsgemeind,fusionsgemeinde,yes
fusionieru,fusionieren,idk
gaschtprofessure,gastprofessuren,yes
gaschtprofessorin,gastprofessorin,yes
gaschtronomische,gastronomischen,yes
gastbrofässer,gastprofessor,yes
gastfründschaft,gastfreundschaft,yes
gasthüser,gasthäuser,yes
gaschtwirtsdochter,gastwirtstochter,yes
gdichtsammlunge,gedichtsammlungen,yes
gebetsruum,gebetsraum,yes
garnisonstruppe,garnisonstruppen,yes
gaschammere,gaskammer,yes
gasbrenner,gasbrennern,yes
garaascherock,garagenrock,yes
gchürzte,gekürzte,yes
gaschteiner,gasteiner,yes
föderativs,föderatives,yes
fäschtumzug,festumzug,yes
förderleischtig,förderleistung,yes
förderinne,förderinnen,yes
förmlige,förmlichen,yes
füerschteberg,fürstenberg,yes
füessli,füssli,yes
fruchtsäft,pflanzensäften,no
frächheit,frechheit,yes
gaugrafe,gaugrafen,yes
gauverband,gauverbandes,yes
ganzzahlige,ganzzahligen,yes
ganzjöhrigs,ganzjähriges,yes
ganzkörperlige,ganzkörperliche,yes
ganzdagsschuel,ganztagsschule,yes
ganzsitige,ganzseitigen,yes
galenischi,galenische,yes
galgetal,galgental,yes
galerywäldern,galeriewäldern,yes
galerischt,galerist,yes
galloitalischi,galloitalische,yes
göppinge,göppingen,yes
fundstätte,fundstätten,yes
fumarol,fumarolen,yes
fuhrwerch,fuhrwerk,yes
fundamentrescht,fundamentreste,yes
funktechnig,funkübertragung,idk
funkzionsbegriff,funktionsbegriff,yes
hauptwasserschaide,hauptwasserscheide,yes
hauptwasserschaide,hauptwasserscheiden,yes
hauptchrischt,hauptkamm,idk
frankophonè,frankophonen,yes
fourieranalys,fourieranalyse,yes
fraktionsschtatus,fraktionsstatus,yes
fraktionskollege,fraktionskollegen,yes
formalistische,formalistischen,yes
formalisierte,formalisierten,yes
freileitungè,freileitungen,yes
freikirchlichi,freikirchliche,yes
freihäitlig,freiheitlich,yes
freiläbendi,freilebende,yes
formdäil,formteilen,yes
fordered,fordern,yes
forelleregion,forellenregion,yes
freihafe,freihafen,yes
freigäh,frei,idk
freigroofschaft,freigrafschaft,yes
freiheitsbäum,freiheitsbäume,yes
freiwerdendei,freiwerdenden,yes
freischaffend,freischaffender,yes
freistehendè,freistehenden,yes
freidänkertum,freidenkertum,yes
freichilchlige,freikirchlicher,yes
fonz,fons,yes
frachtguet,frachtgut,yes
frachtflugzüg,frachtflugzeuge,yes
fragile,fragilen,yes
frachtverkeer,frachtverkehr,yes
foltermethode,foltermethoden,yes
formells,formelles,yes
folgeschäde,folgeschäden,yes
folgeschwerschte,folgenschwersten,yes
folgendermaße,folgendermaßen,yes
fläischigi,fleischige,yes
flächeintegral,flächenintegral,yes
flächehafte,flächenhafter,yes
flächehaft,flächenhaft,yes
flächedichti,flächendichte,yes
flüchdige,flüchtigen,yes
flüchtlingshälfer,flüchtlingshelfers,yes
flüchtlingshilfswärch,flüchtlingshilfswerk,yes
flüchtlingsfrag,flüchtlingsfrage,yes
flügelaltär,flügelaltären,yes
flüelä,flüelen,yes
fleischtätschli,fleischspezialitäten,idk
fleischstügg,fleischstücken,yes
fleischschtugg,fleischstücke,yes
fleischige,fleischigen,yes
fleeßerei,flößerei,yes
flusslängsbrofyl,flusslängsprofils,yes
flussdaal,flusstal,yes
flussniiderige,flussniederungen,yes
flussbfärd,flusspferd,yes
flusschnöi,flussbiegung,idk
flussaazapfig,flussanzapfung,yes
fluktuazioon,fluktuation,yes
fluoreszänz,fluoreszenz,yes
flurnämmè,flurnamen,yes
flussvoläuf,flussverläufe,yes
flussuusbautè,flussausbauten,yes
flugsicherheitsbehörte,flugsicherheitsbehörde,yes
flussablagerige,flussablagerungen,yes
fünfmonatige,fünfmonatigen,yes
fünftürigi,fünftürige,yes
fünfteilige,fünfteiligen,yes
floßhaffè,floßhafen,yes
fluchthälfer,fluchthelfer,yes
fluchtwäg,fluchtweg,yes
flugaktivitäte,luftverkehr,no
flavische,flavischen,yes
fürschtäbtissin,fürstäbtissin,yes
fürschterzbischöflichè,fürsterzbischöflichen,yes
fürstlig,fürstlich,yes
fürstehöf,fürstenhöfen,yes
füüchtgebiet,feuchtgebiete,yes
fürstbischöfliche,fürstbischöflichen,yes
floreregion,florenregion,yes
franse,fransen,yes
fraunhoferlinie,fraunhoferlinien,yes
fremdelegion,fremdenlegion,yes
frekwänzbestimmendi,frequenzbestimmende,yes
fressfind,fressfeinden,yes
freizlege,freizulegen,yes
freiwilligs,freiwilliges,yes
freizitzentrum,freizeitzentrum,yes
fridesnnobelbryys,friedensnobelpreis,yes
franziskanischi,franziskanische,yes
fremdsproochige,fremdsprachigen,yes
franzosenyfall,franzoseneinfall,yes
finanzaalaage,finanzanlagen,yes
finanzhohait,finanzhoheit,yes
finanzdienschtleistige,finanzdienstleistungen,yes
finanzdienschtlaischter,finanzdienstleister,yes
fischeryyrächt,fischereirechte,yes
finanzwält,finanzwelt,yes
fischrychschte,fischreichsten,yes
fischerzümpft,fischerzünfte,yes
finstaub,feinstaubs,yes
finanzmarktuufsicht,finanzmarktaufsicht,yes
finanzkrysè,finanzkrise,yes
finanzierte,finanzierten,yes
finanziells,finanzielles,yes
finanzinvestore,finanzinvestoren,yes
finanzintermediäri,finanzintermediäre,yes
finanzierä,finanzieren,yes
finanzkommissioon,finanzkommission,yes
finanzmäärt,finanzmärkte,yes
fischereischiff,fischereischiffe,yes
firmegruppe,unternehmensgruppe,yes
fischereirächtlichi,fischereirechtliche,yes
flachdeckter,flachgedeckter,yes
flachkischte,flachküsten,yes
flachhuckelig,flachwellig,yes
fjords,fjorde,yes
groossonkel,großonkel,yes
herrschaftsberich,herrschaftsbereich,yes
lunèville,lunéville,yes
luftliniè,luftlinie,yes
meistfrequentierti,meistfrequentierte,yes
innenminister,innenministers,yes
gebirgsgroot,gebirgsgrat,yes
gebirgsgegnig,gebirgsgegend,yes
gebirgsfluss,gebirgsflusses,yes
gebirgsschwelle,mittelgebirgsschwelle,yes
gebirgsplatoo,gebirgsplateaus,yes
gebietsverschiebige,gebietsveränderungen,yes
gebietsabduusch,gebietsabtausch,yes
gebietserwidderige,gebietserweiterungen,yes
gebirgsbaanen,gebirgsbahnen,yes
gottard,gotthard,yes
geistlich,geistliche,yes
gebäudetechnig,gebäudetechnik,yes
kulturlandschaftlichi,kulturlandschaft,yes
willensfreihäit,willensfreiheit,yes
weschtflandre,westflandern,yes
reichsgrof,reichsgrafen,yes
waldèburg,waldenburg,yes
relatiwitdäätstheorii,relativitätstheorie,yes
verdauigstrakt,verdauungstrakt,yes
namensgebendi,namensgebende,yes
mündendè,mündenden,yes
nordfranzösisch,nordfranzösischen,yes
perlfluss,perlflusses,yes
rotfront,rot,no
romantischa,romantischen,yes
phylogentischi,phylogenetische,yes
physischem,physischen,yes
physikalischs,physikalisches,yes
phöniizisch,phönizisch,yes
unumstritteni,unumstritten,yes
südabdachig,südabdachung,yes
ussaagform,aussageform,yes
ygeschränktè,eingeschränkter,yes
sonatesatz,sonatensatzform,no
spotlateinische,spätlateinischen,yes
schportverein,sportverein,yes
sechschtgrescht,sechstgrößte,yes
iiverständnis,einverständnis,yes
liichtere,leichteren,yes
inszeniirt,inszenierte,yes
ärdgaas,erdgas,yes
hailheros,merops,no
realschuelabschluss,realschulabschluss,yes
räächtsfoorm,rechtsform,yes
oberrang,rang,yes
stadtsite,stadtseite,yes
alexandriner,alexandrinern,yes
aapflanza,anbau,no
ässsaal,speisesaal,yes
ränch,rench,yes
däscheratte,taschenratten,yes
chraisgebièt,kreisgebiets,yes
iberdacht,überdacht,yes
z'schwizärchriz,verwenden,no
versuechte,versuchten,yes
dienschtzug,dienstzug,yes
unbeabsichtigti,eingespritzte,no
albbeggi,albstausee,yes
doondreeger,tonträgern,yes
ilau,illnau,yes
kuppletè,gekuppelten,yes
luuterbrunne,lütschental,yes
bibliothekè,bibliotheken,yes
gfroren,gefroren,yes
gèrmanischt,germanist,yes
tesines,tessin,yes
orchestersuite,orchestersuiten,yes
kesselmundschtugg,kesselmundstück,yes
kaste,kasten,yes
epilepsii,epilepsie,yes
kundus,tachar,yes
kronkorkè,kronkorken,yes
krüzt,kreuzt,yes
fluer,flur,yes
säili,halteseile,yes
metropoole,metropole,yes
solidarisiert,solidarisierte,no
tibetischi,tibetische,yes
allerhailige,allerheiligen,yes
zeitschrifda,zeitschriften,yes
kommunalverbänd,gemeindeverbände,yes
weschtdytschland,westdeutschland,yes
ufflösung,auflösung,yes
brozèssor,prozessor,yes
eschenga,öschingen,idk
irreguläre,irregulären,yes
akkordeonischt,akkordeonist,yes
mediationszit,mediationszeit,yes
gebirgsbäch,gebirgsbäche,yes
kurzzitnummèrèschild,kurzzeitkennzeichen,yes
fluginsekte,fluginsekten,yes
nationaurootswahle,schweizer,no
ghörendè,gehörenden,yes
generaal,general,yes
schmide,schmiden,yes
oberschwabe,oberschwaben,yes
flachlandgorilla,flachlandgorillas,yes
flakhälfer,flakhelfer,yes
flusspferd,flusspferde,yes
bindnispartner,bündnispartner,yes
unterschrifte,unterschriften,yes
karolingischi,karolingische,yes
romanisierte,romanisierten,yes
meischterklass,meisterklasse,yes
bopplisse,boppelsen,idk
freischäärler,freischärler,yes
praktikante,praktikanten,yes
oberwenige,oberweningen,yes
dokteraarbet,doktorarbeit,yes
vomittlig,vermittlung,yes
uedlige,udligenswil,idk
galtalp,galtalm,yes
orogenes,orogenese,yes
siddytsch,süddeutschen,yes
gaswuuche,gaswolken,yes
nationalvosammlig,nationalversammlung,yes
osmaanische,osmanischen,yes
zuèghörig,zugehörig,yes
bevölkerigsdeil,bevölkerungsteilen,yes
lagerstätte,lagerstätten,yes
okzitanie,okzitanien,yes
z'stroßburg,straßburg,yes
wasserbecki,wasserbecken,yes
obbergschoss,obergeschoss,yes
al'leu,leu,idk
konzepzioon,minnekonzeption,yes
marpa,marbach,idk
vollmitgliid,vollmitglied,yes
abgasuntersuèchung,uma,no
wirtschaftsgmeinschaft,gemeinschaften,yes
landwirtschaftsgebiet,landwirtschaftsfläche,yes
versplitteret,zersplitterte,yes
nominierigsbarteidag,präsidentschaftskandidaten,no
baddisch,badische,yes
d'ergasto,ergasto,yes
weschtschwiz,westschweiz,yes
atomchrieg,atomkrieges,yes
südöschtlichi,südöstliche,yes
starrraamèlokomotyvè,starrrahmenlokomotiven,yes
seifechischtesport,seifenkistensport,yes
dieläktwortschatz,wortschatz,yes
frachttüre,frachtluke,yes
schbroochforscher,sprachwissenschaftler,yes
umdauft,umbenannt,yes
freimuurerloge,freimaurerloge,yes
freistehendi,freistehende,yes
froschlurcharte,froschlurcharten,yes
fruchtbarste,fruchtbarsten,yes
unterschtôn,unterstehenden,yes
schwänk,volkserzählungen,no
schpanien,nichtspanischsprachigen,no
gräberfäld,gräberfeld,yes
profifuessballer,fußballspieler,yes
undernämeskommunikation,corporate,idk
hauptschtrõß,hauptstrasse,yes
fähige,fähigen,yes
fuessballliga,fußballliga,yes
idealisierti,idealisierte,yes
přemyslide,přemysliden,yes
rebeuvelier,courrendlin,idk
gaartesaal,gartensaal,yes
galicische,galicischen,yes
souveränidät,souveränität,yes
fördè,förden,yes
flüchtig,flüchtige,yes
flughünd,flughunde,yes
flämischi,flämische,yes
fluide,fluiden,yes
geredt,französischsprachige,no
schnäcke,muscheln,no
gebirgslage,gebirgslagen,yes
flachwasserzone,flachwasserzonen,yes
gasförmigè,gasförmigen,yes
düregfüehrt,durchgeführt,yes
gütterle,flaschen,idk
dürfet,dürfen,yes
schlesischi,schlesischen,yes
schtandpunkt,standpunkt,yes
dürrene,dürren,yes
dürrematt,dürrenmatt,yes
tschädige,tschädigen,idk
skeletträscht,skelettreste,yes
güttinge,güttingen,yes
düschter,düster,yes
güèterwagè,güterwagen,yes
güèterzugdiènscht,güterzugdienst,yes
skifahrer,skifahrern,yes
dõmolls,damals,yes
dõdèbi,dabei,yes
dõdrunter,darunter,yes
gegebenèfalls,gegebenenfalls,yes
göttergschlecht,göttergeschlechter,yes
sitedaal,seitental,yes
gegechenig,gegenkönig,yes
gegedäil,gegenteil,yes
ibergab,übergabe,yes
dõmòlige,damalige,yes
iberdeckt,überdeckt,yes
turksproche,turksprachen,yes
iberdragig,übertragung,yes
turkvelker,turkvölker,yes
iberdritt,übertritt,yes
kampfflugzüüg,kampfflugzeugen,yes
fromms,fromme,yes
frondiènscht,frondienste,yes
friedmann,friedmanns,yes
fruchtbars,fruchtbares,yes
fruchtbars,fruchtbarem,yes
fruchtbars,fruchtbare,yes
fruchtbarkaitsziffer,fruchtbarkeitsziffer,yes
frömdspraachenunterricht,fremdsprachenunterricht,yes
funktionali,funktionale,yes
fuessballtrainer,fussballtrainer,yes
fuessballtrainer,fußballtrainer,yes
fuss,fusse,yes
gastiert,gastierte,yes
gasthoof,gasthof,yes
gasförmig,gasförmige,yes
gasförmigè,gasförmiger,yes
garage,garagen,yes
föifhundert,fünfhundert,yes
ganglie,ganglien,yes
fruchtzucker,fruchtzuckergehalts,yes
galicische,galicischer,yes
galante,galanten,yes
fundmaterial,fundmaterials,yes
fueßballverband,fußballverbandes,yes
fueßballverband,fussballverband,yes
funkesunndig,funkensonntag,yes
funktionsprinzip,funktionsprinzips,yes
funktionäll,funktionell,yes
funktionswiis,funktionsweise,yes
helvetischs,helvetischen,yes
frankobrovenzalisch,frankoprovenzalischen,yes
freiliechtmuseum,freilichtmuseum,yes
freigschnittnige,freigeschnittenen,yes
freistehende,freistehender,yes
freisinige,freisinnigen,yes
freischäärler,freischärlern,yes
freischarezüüg,freischarenzügen,yes
formelli,formelle,yes
folgerige,folgerungen,yes
flandrische,flandrischen,yes
flamingo,flamingos,yes
fläämische,flämischer,yes
flusskraftwärk,flusskraftwerk,yes
flussdal,flusstals,yes
flussdäler,flusstälern,yes
flussebeni,flussebene,yes
flussschlaufè,flussschlingen,yes
flussschlaufè,flussschlinge,yes
flussterrasse,flussterrassen,yes
flugsicherig,flugsicherung,yes
fürenand,füreinander,yes
füsiologisch,physiologisch,yes
füürstelle,feuerstellen,yes
flossebürg,flossenbürg,yes
flottestützpunkt,flottenstützpunkt,yes
fluggrät,fluggerät,yes
fingierte,fingierten,yes
finn,finne,yes
fremden,fremde,yes
freizitpark,freizeitpark,yes
finanzbeamte,finanzbeamter,yes
finanzblatz,finanzplatz,yes
finalbuechschtab,finalbuchstabe,yes
finanzdepartemänt,finanzdepartement,yes
finanzwääse,finanzwesen,yes
finanzsektor,finanzsektors,yes
finanzreferänt,finanzreferent,yes
gravitativ,gravitativen,yes
lufkurort,luftkurort,yes
ladeburg,ladenburg,yes
informäll,informell,yes
gebirgsbäche,quellbäche,yes
vorverleit,vorverlegt,idk
restlich,restliche,yes
nöueburgersee,neuenburgersee,yes
änglischsproochig,englischsprachig,yes
verzwygt,verzweigt,yes
vollständigem,vollständigen,yes
schaffd,schafft,idk
pentarchii,pentarchie,yes
romanischem,romanischen,yes
quarte,quarten,yes
prowenzalische,provenzalischen,yes
themepark,themenpark,yes
usdrucksform,ausdrucksform,yes
sprechende,sprechenden,yes
staatsfinanze,staatsfinanzen,yes
stadttäil,stadtgebiet,yes
glitte,erholte,no
höf,höfe,yes
verständige,verständiger,yes
wääber,webern,yes
beamte,starosten,yes
mechanischi,mechanischen,yes
ursach,umstellung,no
nationals,vielbesungenes,no
vertraag,vertrag,yes
uusfaart,ausfahrt,yes
algorithme,algorithmen,yes
rücktritt,zurücktretenden,yes
stammland,stammlande,yes
eigena,betriebseigenen,yes
salzwasser,salzwassers,yes
sprochgebruuch,sprachgebrauch,yes
forum,forums,yes
rooti,grüne,no
gstartet,geschaffen,no
öschebach,öschenbach,yes
baanübbergäng,nebenbahnen,no
millimeter,zentimeter,no
sust,übliche,no
häfe,marinas,no
uusdruckt,ausdrückt,yes
effentlige,öffentlichen,yes
ventyl,ventilzug,yes
bedütige,ausdrücken,yes
liechter,leichter,yes
zäige,unterbringung,no
mathematische,physikalische,no
gschichtsschriiber,folklorist,yes
riggisbäärg,riggisberg,yes
aafangt,begründet,yes
syllogismus,syllogismen,yes
abgchürzt,deutsch,no
progressive,progressiver,yes
verteilt,verteilte,yes
kolumban,columban,yes
kilomeeter,kilometer,yes
domaine,bas,no
uswanderig,emigranten,yes
keit,zurückfielen,no
grüne,grünen,yes
romanischt,romanisten,yes
fertiggstellt,wurde,no
lazarett,lazarette,no
koreanische,vietnamesischen,no
hofdere,neuenkirch,no
start,veröffentlicht,no
stattfinde,durchgeführten,no
differänz,differenz,yes
abgränze,lässt,no
urspringli,ursprüngliche,yes
kind,children,yes
saage,buhlten,yes
ufgsetzt,aufsetzte,yes
brd,bundesrepublik,yes
posauna,posaunen,yes
boykott,boykottierten,yes
richtige,richtungen,no
geht,mündet,no
derfle,dörfchen,yes
epos,heldengedicht,yes
klari,klare,yes
ditschlànd,pfalz,no
schultheiss,schultheissen,yes
stroofe,strophen,yes
rezipiert,rezipierte,yes
verurdäilt,verurteilung,yes
religiöösi,religiöse,yes
breme,bremen,yes
zonè,zone,yes
säsong,saison,yes
transkribiert,wiedergegeben,no
württèbärg,waldshut,idk
überzüügig,überzeugung,yes
landesvorsitzer,landesvorsitzenden,yes
mitglieder,mitgliedern,yes
zammeschluss,vereinigung,yes
iiwohnergmäänd,gemeinde,yes
semitischi,semitische,yes
froschlurch,froschlurche,yes
middelhoochdütsch,mittelhochdeutsch,yes
europarot,europarat,yes
gotteshuus,gotteshaus,yes
chriègsschiff,kriegsschiffe,yes
iiwohnergmein,einwohnergemeinde,yes
dàmmerkìlch,dannemarie,idk
schmalschpurbaanè,schmalspurbahnen,yes
iimarschiirt,riefen,no
verbànd,nachfolgeorganisation,no
bw,bahnbetriebswerk,yes
raiefolg,ordnungsnummer,yes
vowendèt,verwendet,yes
sälbschtändige,selbständigen,yes
uniwersidääte,hochschulen,no
renne,seifenkistenrennen,yes
hugenotte,hugenotten,yes
stilistischi,stilistische,yes
yfüürig,einführung,yes
usrüefe,ausrufen,yes
amtlig,schweizerdeutsch,no
fusioniirt,fusionierte,yes
landesherrschaft,besitz,yes
böim,bäumen,yes
charakteristisch,kennzeichnend,yes
pianischt,pianisten,yes
phonologi,phonologie,yes
nordweschde,nordwesten,yes
wìdergwählt,wiederwahlen,no
abstammig,herkunft,yes
froschlurch,froschlurchen,yes
fuessballverband,fußballverband,yes
aaglait,getragen,idk
sproochlig,sprachlich,yes
bundesverfassigsgricht,neugliederungsgesetz,no
nationalrotswahle,wahlen,yes
nationalsozialischte,machtergreifung,no
kàndidàt,präsidentschaftskandidat,yes
bildigswäse,bildungswesens,yes
weichsel,beskiden,idk
bewusstsyy,bewusstsein,yes
biro,pilgerbüro,yes
mannschafte,offiziere,no
namu,name,yes
volksmund,umgangssprachlich,no
butsch,militärputsch,yes
bryysgau,bötzingen,idk
komposizioon,kompositionsunterricht,yes
neii,schwerpunkte,no
zämmegschafft,kooperierte,yes
keramik,keramikproduktion,no
zämmeschluss,stimmberechtigten,no
kapital,kapitaleinkünfte,yes
verdraute,vertrauter,yes
melanesie,neuguinea,idk
karolingische,karolingischer,yes
collectivité,gebietskörperschaft,idk
lokfüürer,triebfahrzeugführer,yes
choblez,winterthur,idk
mundartdichter,mundartschriftsteller,yes
verformig,verformung,yes
makedonier,makedonen,yes
maire,bürgermeisterin,no
liechtgschwindigkäit,abhängigkeit,no
architektonisch,architektonisches,yes
comic,comicautor,no
nochburgmuanda,bezirkshauptstadt,no
nochberländer,grenzt,no
vasalle,ministerialengeschlecht,idk
moole,malens,idk
fp,frankoprovenzalisch,yes
süd,südrheinfränkischen,no
dienschtleischtigssektor,dienstleistungsbereich,yes
united,vereinigten,yes
inspiriert,angeregt,yes
rotationsrichtig,bahnebene,idk
staatsoberhaupt,derzeitige,no
tanganjika,tanganyika,idk
stääge,treppen,idk
entwurf,entwurfes,yes
friedensnobelpriis,friedensnobelpreises,yes
gflüchtet,fliehen,no
gneigt,zusammenfällt,no
premierminischter,ministerpräsident,yes
springe,vierschanzentournee,no
sproochwüsseschaft,linguistik,yes
gäns,gänse,yes
bundesvorsitzeri,bundesdelegiertenkonferenz,no
landesherre,gerichtsbarkeit,no
aazluege,sehenswürdigkeiten,idk
bundesverfassig,eidgenossenschaft,no
galge,galgen,yes
flosse,flossen,yes
flussname,flussnamen,yes
finnische,finnischer,yes
flämische,flämischen,yes
riichste,reichsten,yes
flugzigg,luftfahrzeugkennzeichen,no
flamenco,flamencogitarre,no
skandal,skandale,yes
quardier,stadtteil,yes
güèterwägè,holztransportwagen,yes
dürne,thürnen,idk
güèter,gütern,yes
düte,deuten,yes
skifahre,skilauf,no
düsseldorfer,düsseldorf,no
quardier,quartiers,yes
schtandort,standort,yes
dõhèr,daher,yes
dõgegè,hingegen,yes
dõfür,dafür,yes
sithär,inzwischen,yes
dõdruff,darauf,yes
turnier,turniere,yes
sketch,sketchen,yes
tuniberg,tunibergs,yes
quardier,quartieren,yes
siteschiff,seitenschiff,yes
götterpaar,götterpaares,yes
siteschiff,seitenschiffe,yes
frommi,frommen,yes
fromme,frommer,yes
gangster,gangsta,yes
gambia,gambias,yes
gauß,gaußschen,yes
galiläa,galiläas,yes
galileo,galileis,yes
galerie,gallery,yes
foltere,foltern,yes
gländterrasse,terrasse,yes
flüssigem,flüssigen,yes
flüssige,flüssiger,yes
flussname,flussnamens,yes
flusslauf,flusssystem,no
fitzgerald,fitzgeralds,yes
mediationsziit,mediationsverfassung,no
minister,gesundheitsminister,yes
mitte,mitten,yes
missione,mission,yes
gebirgsgruppe,gebirgszug,yes
geborene,geborener,yes
winde,passatwindes,no
vorland,vorlandes,yes
nöierdings,neuerdings,yes
überschniide,überschneidender,yes
oppositionsfierer,oppositionsführers,yes
phonetische,phonetischer,yes
theoretischi,theoretischer,yes
turismus,touristische,yes
ultimatum,ultimatums,yes
titelverdaidiger,titelverteidiger,yes
trainer,vereinstrainer,yes
trainer,trainerstab,no
trainer,trainerkarriere,no
trainer,nationaltrainer,yes
sozialistisch,sozialistischer,yes
spööter,zeigte,no
häi,erkrankt,no
noofolger,nachfolgeparlament,yes
leiter,dozent,yes
erscht,ersten,yes
thema,thematisieren,yes
dervu,denen,no
rolle,spielte,no
se,später,no
häi,pflegten,no
gmei,gewann,no
ukraine,russischen,no
zunere,zugehörige,yes
baselbieter,baselbietern,yes
schwätzt,niederschlägen,no
umfasst,betitelt,no
gschriibe,ausgesetzt,yes
charakter,figur,yes
