Swiss German,German,Meaning,Factual similarity,Grammar differs?,Reasons?
Bis zum 31. Dezämber 2009 het d Gmeind zum Bezirk Seftige ghört.,"Bis 1948 bildete der Weiler ""Stoffelsrüti"" eine Exklave von Jaberg, danach wurde er der Gemeinde Noflen zugeteilt.",1,n/a,FALSE,
"D Arbetslosigkait isch anne 2011 bi 1,2 % gläge.","Von den Bewohnern sind 96,7 % französischsprachig, 1,5 % deutschsprachig und 0,9 % italienischsprachig (Stand 2000).",1,n/a,FALSE,
"D Arbetslosigkait isch anne 2011 bi 3,8 % gläge.","Von den Bewohnern sind 81,4 % französischsprachig, 7,1 % deutschsprachig und 4,6 % englischsprachig (Stand 2000).",1,n/a,FALSE,
"D Arbetslosigkäit isch im Jaar 2010 bi 2,0 % gläge.","Der Ausländeranteil liegt bei 16,0 %.",1,n/a,FALSE,
"D Arbetslosigkeit isch im Jahr 2011 bi 1,1 % gläge.",Die erste Schule wurde 1608 eingerichtet.,1,n/a,FALSE,
"D Arbetslosigkeit isch im Jahr 2011 bi 1,3 % gläge.",Im Winter 1999 wurde die Strasse durch Lawinenniedergänge 13 Tage und im Januar 2018 durch einen Murgang 3 Tage unterbrochen.,1,n/a,FALSE,
"D Arbetslosigkeit isch im Jahr 2011 bi 1,3 % gläge.",15 % sind im Sektor Handwerk und Gewerbe sowie 30 % im Sektor Handel und Dienstleistungen tätig.,1,n/a,FALSE,
"D Arbetslosigkeit isch im Jahr 2011 bi 2,1 % gläge.",Seit 1980 (795 Einwohner) wurde eine deutliche Bevölkerungsabnahme verzeichnet.,1,n/a,FALSE,
De Familiname Schärer (Scherrer) het uursprüngli Scheermuusfänger bizaichnet.,Die Figur wurde im Jahr 1956 vom tschechischen Zeichner Zdeněk Miler ersonnen.,1,n/a,FALSE,
De Stapellauf isch am 21. Maie 1911 gsi.,Letztmals freigegeben wurde das Eis am 11. Februar 2012.,1,n/a,FALSE,
"De Uusländeraateel isch 2010 bi 4,8 % gläge.","Von den Bewohnern sind 90,5 % französischsprachig, 7,9 % deutschsprachig und 1,6 % sprechen Italienisch (Stand 2000).",1,n/a,FALSE,
"De Uusländeraateil isch 2010 bi 4,1 % gläge.",Der Höchststand war 1840 mit 800 Einwohnern erreicht.,1,n/a,FALSE,
Dea Insle isch so um 600 m lang un hegschtens 150 m braid gsi.,Die Burg entstand in der ersten Hälfte des 12. Jahrhunderts und brannte um 1400 ab.,1,n/a,FALSE,
"Die meischte Mensche gsend das ersch im Tod, doch einigi chönd es durch meditiere au scho zu Lebziite gsee.",Die meisten der 500 000 Mönche kamen entweder in Arbeitslagern oder Gefängnissen um oder wurden zwangsverheiratet.,1,n/a,FALSE,
Döt wärdit vor allem holz (baumschtämm) ond mineralölprodukt verlade.,"Daneben gibt es einige kleinere Gewerbe- und Handwerksbetriebe, vor allem in der Baubranche, sowie mehrere Tankstellen.",1,n/a,FALSE,
"Dr Baan bstoht us 62,8 % Landwirtschaftsflechi, 22,2 % Wald, 14,5 % Sidligsflechi un 0,5 % sunschtiger Flechi.","Am 8. Mai 2022 wurde er mit 86,8 Prozent der Stimmen für eine dritte Amtszeit wiedergewählt.",1,n/a,FALSE,
"Dr Bann bstoht us 66,7 % Landwirtschaftsfleche, 24,1 % Wald, 8,2 % Sidlungsflechi un 1 % sunschtiger Flechi.",In Frickingen liegt ein kleiner Teil des Naturschutzgebiets Aachtobel und ein Teil des Landschaftsschutzgebiets Heiligenberg.,1,n/a,FALSE,
Dr Ggmeindspresident va Ämd ischt dr Stefan Lorenz (Stant Oktober 2017).,Erster Konzessionsnehmer war der Bergführer und Unternehmer Erwin Lochmatter.,1,n/a,FALSE,
Dr Mickael Delage vo FDJ isch zum kämpferiste Fahrer gwehlt worde.,Die Tour de France 2011 war die 98. Austragung des wichtigsten Etappen-Radrennens der Welt.,1,n/a,FALSE,meaning 1 or 2
"Dr Uusländeraadail isch 2010 bi 11,2 % gläge.","Von den Bewohnern sind 87,3 % französischsprachig, 4,9 % deutschsprachig und 2,1 % italienischsprachig (Stand 2000).",1,n/a,FALSE,
"Dr Uusländeraateil isch 2010 bi 1,5 % gläge.","Von den Bewohnern sind 97,6 % deutschsprachig, 1,8 % französischsprachig und 0,6 % sprechen Portugiesisch (Stand 2000).",1,n/a,FALSE,
"Drom ischt mr halt uff d Vrmuadong ôôgwiisa, dass des am 19. April 1752 dr Fall gwäa ischt.",Am 19. August jenes Jahres hielt Friedrich Geßler dort die Weihrede.,1,n/a,FALSE,
E Huffe archeologischi Stätte sin bishär erscht dailwyys erforscht.,Eine partielle Besiedlung des heutigen Tschad fand bereits in prähistorischer Zeit statt.,1,n/a,FALSE,
"Em Vorbeilaofâ saed'r saem Bua blos: ""„Em Ra“"".","Die standarddeutsche Sprache kennt drei Umlaute: ""a/ä, o/ö, u/ü"".",1,n/a,FALSE,
Endemisch het s Cholera un Typhus gee un anne 1984 isch dr erscht AIDS-Fall im Land ufdrätte.,"Im Jahre 1918 gab es eine Pandemie der Spanischen Grippe, die zahlreiche Todesopfer forderte.",1,n/a,FALSE,meaning 1 or 2
"Er isst die Bardowese (Höllenwese, hungrigi Geister) und riist ihre Chopf ab.",Sie übernahmen seine Mahamudra-Übertragungslinie und auch die Lehren vieler anderer großer Siddhas.,1,n/a,FALSE,
Es gét én Arze e Kéndergarte un e Primarschüele mét vier Klasse.,Sie gehört zum Kanton Ensisheim und zum Gemeindeverband Pays Rhin-Brisach.,1,n/a,FALSE,meaning 1 or 2 
"Es git aber o no e zwöiti Mannschaft, nämlech dr FC Wyler.",Seit 2005 gibt es zusätzlich eine 10-Kilometer-Strecke.,1,n/a,FALSE,
Gäärschtett ischt zom erschte Mol gnennt worde anne 986.,Sie wurde im Jahr 1356 zum ersten Mal erwähnt.,1,n/a,FALSE,
I de 90er-Jahre sind i vilne Regione d'Chüürs überarbeitet und veränderet worde.,"Im Laufe des 20. Jahrhunderts wurde in der linken Hälfte des Logos noch ""cvjf"" hineingeschrieben.",1,n/a,FALSE,
"Ihri Rute hän si zue dr große Seeä gfiert, em Viktoria-See un em Rudolf-See un bis uf Buganda.",Die Küstenlinie wird dabei von Buchten und Lagunen gegliedert.,1,n/a,FALSE,
Im 1.Jh.v. Chr. sind denn au römischi Produkt hüüfiger importiert wore.,"Von ihnen stammen auch die ersten schriftlichen Zeugnisse in der Schweiz, die um 600 v. Chr. auf Grabstelen eingraviert wurden.",1,n/a,FALSE,
Im Revolutionsjahr 1848 isch es drum zu republikanische Urueh cho.,Bereits im Römischen Reich wurde sie als Liguria bezeichnet.,1,n/a,FALSE,
In de Schuel isch scho in de erschti Hälft vum 19. Joorhundert au Dütsch unterrichtet worde.,Bereits im 19. Jahrhundert setzte ein Rückgang dieser Sprache ein.,1,n/a,FALSE,
Meriri noihaidnischi Gruppe distanzieret sich düttli vo de rechtsradikale Noihaide.,Die ursprüngliche nordgermanische Religion hatte eine starke Neigung zum Animismus.,1,n/a,FALSE,
No ihne sin 1871 dr Henry Morton Stanley un dr David Livingstone chuu.,Sein Nachfolger Sylvestre Ntibantunganya wurde 1996 durch den früheren Präsidenten Buyoya gestürzt.,1,n/a,FALSE,
"Noch Uuswiis vo de Archäologii het denn d Tschernjachov-Kultur uufghört, wo mit de Gote i Verbindig broocht werd.","Die Bestattungssitten gleichen sich im 6. und 7. Jahrhundert immer mehr den byzantinischen, aber auch kaukasischen an.",1,n/a,FALSE,
"S Maturzüügnis ermögligt s Fachschdudium an alle Schwiizer Universitäte, an dr ETH und Deilnahm an Primarlehrerkürs am Pädagogische Inschdidut.",Die vierjährige Ausbildung der Informatikmittelschule ist in drei Jahre Vollzeitschule und in ein abschliessendes Praktikumsjahr gegliedert.,1,n/a,FALSE,
S’Fricktal wird vo Vorderöstriich trennt und em Kanton Aargau zuegschlage.,Der östlichste Ausläufer des Juras ist der Randen im Kanton Schaffhausen.,1,n/a,FALSE,
Säller Vorgang heißt Plasmogami. Ä Hyphe mit underschidliche Zellchernarte nennt mer Heterokaryon.,"Die Wissenschaft, die sich mit Pilzen beschäftigt, nennt man Mykologie.",1,n/a,FALSE,
"Seit iber 200 Johr isch er aber au en dr Walhalla, wia andere Geistesgrößa ""teutscher Zunge"" au.",Seit dem 6. Dezember 2005 trägt der Breslauer Flughafen seinen Namen.,1,n/a,FALSE,
"Slawischi Völcher hänn sich im 5. Johrhundert aafange aasidle, di gröschti Wälle isch abber erscht im 6. Johrhundert chuu.","Am 5. Mai 1945 begann der Prager Aufstand gegen die deutsche Besatzungsmacht, am 8. Mai war der Weltkrieg zu Ende.",1,n/a,FALSE,
"Syter 2016 lyt dr Scnwäärpunkt uf dr vier Chäärnelemänt Wachsduum, Profitabiliteet, Innovazion un Exzellänz.","Der Fokus liegt auf den Märkten Liechtenstein, Schweiz und Österreich.",1,n/a,FALSE,
Uff die Schuel sind näbe vilnen andere der Georg Thürer und der Dino Larese ggange.,Daneben existieren das Museum Rosenegg (Stadtgeschichte) und ein Puppenmuseum sowie vier Kunstgalerien.,1,n/a,FALSE,
Unter uusländischem Druck het dr Hastings Banda am 10. Juli dr inhaftiert Oppositionsbolitiker Aleke Banda entloo.,"Ihm folgte die bisherige Vizepräsidentin Joyce Banda nach, die am 7. April 2012 den Amtseid ablegte.",1,n/a,FALSE,"Joyce Banda ≠ 
Aleke Banda"
Uusgschaffeti Gsetz chönd au vomene Zwänzgischtel (aso 5 %; bis 2018 händs müese 20 % sy) vo alne Waalbirächtigte voorgschlage wäärde.,"Die Arbeitslosenquote beträgt somit 5,6 % (Oktober 2019: 4,3 %).",1,n/a,FALSE,
"Vo dr Gmarkong send 66,2% Landwirtschaftsfleche, 23,6% Wald, 9,5% Sidlongsfleche ond 0,7% sonschtige Fleche.","Die Wahlbeteiligung betrug 69,2 %.",1,n/a,FALSE,
Vu Saderlach sin am 14. Jänner 1945 225 Männer un Wiiber deportiert wore.,Im Jahr 1514 wurde das „Schloss Zadorlak“ von den Aufständischen Dózsas geplündert und alle Lehensurkunden vernichtet.,1,n/a,FALSE,
Vun 1871 bìs 1918 hàt d Gmein zem ditsche Richslànd Elsàss-Lothringe ghert.,"Illfurt gehörte bis 1324 zur Grafschaft Pfirt, danach bis 1648 dem Haus Habsburg.",1,n/a,FALSE,
Vun 1871 bìs 1918 hàt d Gmein zem ditsche Richslànd Elsàss-Lothringe ghert.,"Dies geschah von 1827 bis 1830 nach Plänen des Baumeisters ""Wagner"" aus Altkirch.",1,n/a,FALSE,
"Well d Wuètèdalbaan schu 1971 dampffrei gsi isch, hèt mó au dè Wasserturm vo baddischer Bauart un dè Wasserkran abbaut.",Kurz nach der Einstellung des Personenverkehrs wurde das Empfangsgebäude des Bahnhofs Weizen 1971 vollständig abgerissen.,1,n/a,FALSE,
"Wo denn dr Benzinmotor ufchoo isch, het sich dr Fluug schweerer as Luft schnäll entwigglet.",Gasballons und Heißluftballons haben keinen Antrieb und treiben mit dem Wind.,1,n/a,FALSE,
Zuvor sind sich beidi Länder im Krimchrieg nöcher cho.,Stattdessen gingen die zuvor noch bedrängten Österreicher und Deutschen in die Offensive über.,1,n/a,FALSE,
1346 het der Dütsch Orde d Stadt übercho.,Unter der erneuten dänischen Herrschaft bis 1346 gewann die Stadt rasch an Größe und wirtschaftlicher Bedeutung.,2,Different details,FALSE,
1570 isch er uf Rom und spööter uf Schbanie.,Dort lebte er bis 1590 und dann wieder ab 1604.,2,n/a,FALSE,
1783 het er s Collegium Musicum zämme mit em Daniel Legrand und e baar andere wider uf d Bäi gstellt.,1799 wurde er von Frédéric-César de la Harpe aus dem Amt gedrängt.,2,n/a,FALSE,
1861 wird Sardinie Teil vom neue Königriich Italie.,Sardinien ist eine politisch zu Italien gehörende Insel im Mittelmeer.,2,Different details,FALSE,
"1888 hät sini Regierig s ""Öffentliche Gsundheitsgsetz vo 1888"" erla und e Wiederguetmachig gäge Missbrüüch von de italiänische Regierig versproche.","1888 kam es zur Liberalisierung des Strafgesetzbuches, welches die Todesstrafe abschaffte und formell das Streikrecht legalisierte.",2,n/a,FALSE,
1899 isch d Gymnasialabdeilig ufgmacht worde.,1959 wurde die Schule in die Mädchengymnasien I und II getrennt.,2,n/a,FALSE,
"1969 isch eins von de erschte düütsche Chärnchraftwerk in Obrigheim in Betriib gange, wo mittlerwiile aber schtillglegt isch.",Im 19. Jahrhundert siedelten sich die ersten Industriebetriebe in Obrigheim an.,2,n/a,FALSE,
"1991 bis 2001 isch äär Undersuechigsrichter vom Middelwallis gsi, und sider het er es äigets Jurischtebüro.",Seit 2001 ist er als Anwalt tätig.,2,Different details,FALSE,
"1999 isch de Euro als Büechwährig iigfiehrt wore, di Europäischi Verfassig hänn d'Franzose 2005 abber abglähnt.",Die vorherige Währung war bis 2002 der Französische Franc.,2,n/a,FALSE,
2011 isch dr Chavanel französische Meister im Strosserenne worde.,Sein jüngerer Bruder Sébastien Chavanel war bis 2016 ebenfalls Radrennfahrer.,2,n/a,FALSE,
"35,2 % vo de Iiwooner sönd em Joor 2000 römisch-katholisch gsii, 42,4 % evangelisch-reformiert.","Im Jahr 1980 hatte Bühler 1940 Einwohner, im Jahr 2000 noch 1598.",2,n/a,FALSE,
"39,7 % vo dr Yywooner sin evangelisch-reformiert, 37 % sin römisch-katholisch (Stand 2000).","Von den Bewohnern sind 84,1 % französischsprachig, 5,1 % deutschsprachig und 3,0 % italienischsprachig (Stand 2000).",2,n/a,FALSE,
"59 % vo dr Yywooner sin evangelisch-reformiert, 21 % sin römisch-katholisch (Stand 2000).","Von den Bewohnern sind 74,7 % französischsprachig, 21,1 % deutschsprachig und 1,6 % portugiesischsprachig (Stand 2000).",2,n/a,FALSE,
"64,1 % vo de Iiwooner sind evangelisch-reformiert, 14,3 % sind römisch-katholisch (Stand 2011).","Unverändert blieb das Kirchengebiet, nach wie vor bilden Trüllikon und Truttikon zusammen eine evangelisch-reformierte Kirchgemeinde.",2,n/a,FALSE,
"64,5 % vo dr Yywooner sin evangelisch-reformiert, 21,3 % sin römisch-katholisch (Stand 2000).","Von den Bewohnern sind 92,4 % französischsprachig, 5,0 % deutschsprachig und 1,3 % portugiesischsprachig (Stand 2000).",2,n/a,FALSE,
"77,3 % va de Yywoner si im Jaar 2000 römisch-katholisch gsii, 8,6 % evangelisch-reformiert.","Von den Bewohnern sind 85,4 % französischsprachig, 7,5 % deutschsprachig und 1,5 % sprechen Makedonisch (Stand 2000).",2,n/a,FALSE,
"82,1 % vo de Ywohner si evangelisch-reformiert, 8,1 % si römisch-katholisch (Stang 2000).","Von den Bewohnern sind 96,4 % deutschsprachig, 1,3 % italienischsprachig und 1,0 % sprechen Französisch (Stand 2000).",2,n/a,FALSE,
"84,4 % vo dr Eiwohner send em Johr 1987 remisch-katholisch gweä, 12,3 % evangelisch.",Zwischen 1988 und 2018 wuchs die Gemeinde von 3049 auf 3721 um 672 Einwohner bzw. um 22 %.,2,n/a,FALSE,
"87,7 % vo dr Eiwohner send em Johr 1987 remisch-katholisch gweä, 7,6 % evangelisch.",Im Zuge der Gebietsreform in Bayern wurde am 1. Mai 1978 die Gemeinde Schabringen eingegliedert.,2,n/a,FALSE,
"92,3 % vo dr Eiwohner sind im Johr 1987 remisch-katholisch gwesa, 4,5 % evangelisch.","Zwischen 1988 und 2018 wuchs die Gemeinde von 1166 auf 1425 um 259 Einwohner bzw. um 22,2 %.",2,n/a,FALSE,
"95,8 % vo dr Eiwohner sind im Johr 1987 remisch-katholisch gwesa, 3,1 % evangelisch.",Zwischen 1995 und 2015 wuchs die Gemeinde um 68 Einwohner bzw. ca. 4 %.,2,n/a,FALSE,
A dè bläsmischè Zeentschüèr dokumentyrt d Johreszaal diè fortwäärendi Herrschaft vo St. Bläsy.,"1275 bekam das Kloster St. Blasien Schenkungen von Grundbesitz in Weizen, 1353 gehörte diesem auch die Mühle.",2,n/a,FALSE,
Aageblich söll d Tänzeri Mata Hari im Cabaret vom Odeon uftrette sii.,"In Zürich war das ‚Odeon’ das erste Lokal, in dem Champagner glasweise im Offenausschank serviert wurde.",2,n/a,FALSE,
Abber schu dè John Philip Sousa hèt i sinèrè Military Band schu um 1895 keini Es-Drumbeetè mee bsetzt.,Zur Gattung gehören professionelle Blasorchester (z. B. in der Militärmusik) ebenso wie Amateurorchester.,2,n/a,FALSE,
"Almagäll ligt im Saastaal und isch s südlichschte oder oberschte Dorf im däm Taal, oben a Saas-Grund.",Der dominierende Berg über Saas Almagell ist das etwa drei Kilometer südöstlich des Dorfes liegende Almagellerhorn.,2,Different details,FALSE,
"Als Reaktion druf händ dütschi Truppe im ""Fall Achse"" Norditalie bsetzt und döt es Marionetteregime installiert.","Stattdessen akzeptierte er am 20. Juli im Grundsatz Hitlers Forderung, die italienischen Truppen in Süditalien deutschen Stäben zu unterstellen.",2,Different details,FALSE,
Als zweuti Gmein im Kanton Baselland hett dr Tschoppehof ä Scnitzelheizig bout.,"Im lokalen Sprachgebrauch hat sich der Name ""Tschoppehof"" für Liedertswil bis heute halten können.",2,n/a,FALSE,
Am 1. Januar 1930 het de Stauffenberg s Offizierspatent übercho und isch zum Lüütnant befördert worde.,Am 1. Mai 1933 folgte Stauffenbergs Beförderung zum Oberleutnant.,2,n/a,FALSE,
Am 1. Januar 2003 sind die Bezirk dur 8 Wahlchraise abglöst worde.,Seit dem 1. Januar 2013 wird der Kanton Luzern in sechs Wahlkreise aufgeteilt.,2,n/a,FALSE,
Àm 29. Novamber 2014 ìsch’r àls Leiter vu dr UMP-Pàrtei gwählt worra.,Am 19. September 2014 kündigte Sarkozy seine erneute Kandidatur für den Vorsitz der UMP an.,2,Different details,FALSE,
Am Afang vum 12. Jahrhundärt isch London ändgültig d Hauptschdat vum Land gsi.,Ende des 17. Jahrhunderts stieg London zum bedeutendsten Finanzzentrum der Welt auf.,2,n/a,FALSE,
Am negschte Dag isch dr Chodorkowski derno us dr Haft entloo wore.,Darunter befindet sich auch das umstrittene zweite Urteil gegen Chodorkowski.,2,n/a,FALSE,
Àn da DNA schàffa ungfahr 150 Journàlischta.,Die DNA deckt mit 26 Lokalausgaben das gesamte Elsass ab.,2,n/a,FALSE,
An de Gränze züe Dütschland wird au Dütsch gschwätzt.,Die Amtssprache Dänemarks ist Dänisch.,2,n/a,FALSE,
"Andersch syg es nit z erkläre, dass d Schriftsprooch im Engadin so schnäll het chönne enstoo.","Man geht aber davon aus, dass die rätische Sprache nicht indogermanisch war.",2,n/a,FALSE,
"Ane 1945 isch dr ""Schwiizerisch Verband vo de Bürgergmäinde und Korporazioone"" ggründet worde, wo syni Gschäftsstell z Bärn hett.",Heute existieren in der Schweiz noch knapp 1650 Bürgergemeinden und Korporationen.,2,n/a,FALSE,
Ane 2001 het se s Baselbieter Stimmvolch i Nazionalroot gwählt.,Im Amtsjahr 2012/13 war sie Präsidentin des Nationalrates.,2,n/a,FALSE,
Ane 2008 het de Flepp en aignigs Album usege.,"Mit ""Analogia"" veröffentlichten sie 2004 das erste rätoromanische Rap-Album überhaupt.",2,n/a,FALSE,
Anne 1541 het e stark Ärdbidem d Stadt vu Nueva Cádiz gschlisse.,Die erste feste Siedlung der Spanier namens Nueva Cádiz entstand 1522.,2,n/a,FALSE,
Anne 1781 het dr spanisch Seefahrer Francisco Antonio Maurelle d Eremite-Insle erforscht.,"Ethnologisch wurden die Westlichen Inseln – samt der Admiralitätsinseln – auch als ""Paramikronesien"" bezeichnet.",2,n/a,FALSE,Eremite-Insle are part of westlichen Inseln
"Anne 2010 isch s Album ""Just in time"" chuu.","1997 nahm die Band die erste EP ""Export"" auf, die unter dem Label S.O.S. Records veröffentlicht wurde.",2,n/a,FALSE,
Anstatt vo 3 · 4 wird mänggisch au 3 × 4 oder 3 * 4 gschriibe.,Anstelle von formula_10 wird manchmal auch formula_13 oder formula_14 geschrieben.,2,n/a,FALSE,
"Arabischi Medizinmanne, ""Ombiasy"" gnännt, hän si as Richter bi ne Hufe madagassische Chenigtimer etabliert.",1896 konnten sich die Franzosen schließlich durchsetzen und errichteten ein französisches Protektorat in Madagaskar.,2,n/a,FALSE,
"As de Name de Göttername Irmin enthalte söll, isch us sproochliche Gründ nöd woorschindli.","Der Name kann etymologisch auf germanisch ""irmana-"" = groß und ""sul"" = Säule zurückgeführt werden, bezeichnet also eine ""Große Säule"".",2,Different details,FALSE,
"As er uf Imbros Imbramos (Ἴμβραμος) ghaisse heb, isch degege e wösseschaftlichi Feellaistig.","Die Griechen nennen die Insel ""Ímvros""; der deutsche Name ""Imbros"" entspricht der altgriechischen Aussprache.",2,n/a,FALSE,
As Hobby het dr Jacques Rogge hischdorischi und wüsseschaftligi Literatur glässe und moderni Kunschd bewunderet.,Jacques Rogge war verheiratet und hatte zwei erwachsene Kinder.,2,n/a,FALSE,
Au am andere-n-Änd vu dr Landquart-Davos-Bahn isch buut wordä.,"Am 7. Februar 1888 wurde die ""Schmalspurbahn Landquart–Davos AG"" (LD) gegründet.",2,n/a,FALSE,
"Au Uschter und Mönchaltorf sind wiiter hine, usserhalb vom füechte Ufersträife.","Er, der Zürichsee und die dazwischenliegende Pfannenstielkette haben in etwa süd-nördliche Ausdehnung.",2,n/a,FALSE,
"Barezwiller ìsch zem erschte Mol gnannt worre ànne 1270 àls ""Berotzwilr"".",Berenzweiler gehörte bis 1324 zur Herrschaft Altkirch (Grafschaft Pfirt).,2,n/a,FALSE,
Bi Durazzo het en dr Normanneherzog Robert Guiskard gschlaage und isch denn bis Makedonie vordrunge.,"Mit den Seldschuken schloss er Frieden, um sich gegen den in das Reich eingefallenen Normannenherzog Robert Guiskard zu wenden.",2,n/a,FALSE,
"Bis 1806 het Miiläbach de Firschteberger ghert, no isch zum Großherzogdum Bade kumme.",Mühlenbach gehörte zum Landkreis Wolfach und wechselte am 1. Januar 1973 in den neugebildeten Ortenaukreis.,2,n/a,FALSE,
Bis zum 31. Dezämber 2009 het d Gmeind zum Bezirk Moutier ghört.,Das Dorf unterstand bis zum Ende des 18. Jahrhunderts der Propstei Moutier-Grandval.,2,n/a,FALSE,
Bolschterlang likt am Fuaß vom Bolschterlanger Horn.,"Die Talstation der Sechser-Gondelbahn ""Hörnerbahn"" mit zwei Abschnitten befindet sich am Fuße des Bolsterlanger Horns.",2,n/a,FALSE,
"Bsùnders bliebt sìn bi de Magyare sälli Vornäme, wùù's niene anderscht gìt wie bi ìhne.","So verbündeten sich die Magyaren mit den Byzantinern, die sich zu dieser Zeit mit den Bulgaren im Krieg befanden.",2,n/a,FALSE,
Buxhoi ghert zua koenere Verwaltongsgmoeschaft.,In Buxheim herrscht eine mittelständische Wirtschaftsstruktur vor.,2,n/a,FALSE,
"D ""Hamburger Kunschthalle"" am Glockegießerwall hot im Johr rund 356.000 Bsuecher.",Der Alsterpark rund um die Außenalster ist Hamburgs beliebteste Joggingstrecke.,2,n/a,FALSE,
"D Aahänger vom Kriya-Yoga bitrachtet sich zwoor as religiös unabhängig, d Philosophii isch aber aidüttig hinduistisch.","In früheren Volkszählungen wurden Hindus mit anderen nicht abrahamischen Glaubensgemeinschaften (vor allem Buddhisten) als ""andere Kirchen und Gemeinschaften"" zusammengefasst.",2,n/a,FALSE,
D Aargauer Kulturstiftig Pro Argovia het es paar Sache gmacht für s Adänken an Dichter läbig z bhalte.,Sein Nachlass befindet sich dank der Vermittlung seines Bruders und Biografen Erwin Haller im Staatsarchiv Aargau in Aarau.,2,n/a,FALSE,
"D Abholzig vu Wälder, z. B. vu tropische Rägewälder, dergege setzt zuesätzligi Dryybhuusgaas frei.","In Mitteleuropa sind solche Wälder den Standorten entsprechend oft durch Buchen geprägt, durch Bergmischwälder, Edellaubholz und Kiefern.",2,n/a,FALSE,
D Ae 6/8 isch ä ehemaligi Streggäloggi vu d'r Lötschbärgbahn.,Bis zur Einführung der Ae 8/14 durch die SBB war die Ae 6/8 die leistungsstärkste Lokomotive der Welt.,2,n/a,FALSE,
"D Arbetslosigkait isch anne 2011 bi 2,1 % gläge.",Weitere Arbeitsplätze sind im lokalen Gewerbe und im Dienstleistungssektor vorhanden.,2,n/a,FALSE,
"D Arbetslosigkait isch anne 2011 bi 3,6 % gläge.","Von den Bewohnern sind 81,9 % französischsprachig, 8,3 % deutschsprachig und 5,5 % englischsprachig (Stand 2000).",2,n/a,FALSE,
"D Begriffsbedütige ""Putsch"" und ""Staatsstreich"" (franz.: ""coup d’État"") si aber nit völlig idäntisch.","Darüber, ob und inwiefern sich die Begriffe ""Putsch"" und ""Staatsstreich"" unterscheiden, besteht keine Einigkeit.",2,Different details,FALSE,
"D Bonnie gfindet use, dass ihri Muetter am Läbe isch und suecht disi uf.",Bonnie wehrt sich im Schlaf gegen die Bürde der Jägerin und will lieber sterben.,2,n/a,FALSE,
D Burgermaischteri vu Donneloye isch d Lise Courvoisier (Stand Merz 2014).,"Donneloye liegt auf , 7 km ostsüdöstlich der Bezirkshauptstadt Yverdon-les-Bains (Luftlinie).",2,n/a,FALSE,
D Burgermaischteri vu Ferlens isch d Sonia Hugentobler gsii (Stand Merz 2014).,"Der Ortsname geht auf den burgundischen Personennamen ""Ferila"" zurück und bedeutet ""bei den Leuten des Ferila"".",2,n/a,FALSE,
D Comédie-Française het hüte e Repertuar vo öbbe 3000 Theaterstück.,"Die Comédie-Française unterhält als einziges dieser Nationaltheater ein festes Ensemble (""Troupe des Comédiens français"").",2,n/a,FALSE,
D Druckergmeinschaft mit em Johann Froben und em Johannes Petri isch noch 1500 entschdande.,"Der geschäftstüchtige Unternehmer arbeitete zunächst häufig mit Jakob Wolff von Pforzheim, später mit Johannes Petri und Johann Froben zusammen.",2,Different details,FALSE,
