,Bavarian,German,GBERT_avg_prob,MBERT_avg_prob
154,kiachspuisgmoa,kirchspielsgemeinde,0.9040529429912568,1.0
155,klosta,klosters,0.7877873182296753,0.93744637966156
156,england,englands,0.9999996781349182,1.0
157,oidäding,altötting,0.991980892419815,0.9999856591224672
158,britischn,britischen,0.9999962449073792,0.9999996960163116
159,banzenweiler,feuchtwangen,0.9679413318634034,0.99206445813179
160,heilign,heiligen,0.9595845222473144,0.8851450502872467
161,alabama,alabamas,0.9999999821186064,1.0
162,landwiatschoftli,landwirtschaftlich,0.9996887922286988,0.9999999463558196
163,vaeinigt,vereinigt,0.8917808443307876,0.9999930024147032
164,county,countys,0.9770376563072204,0.9999266028404236
165,schutzheiliga,schutzheiliger,1.0,1.0
166,gebiet,gebiets,0.9999983310699464,0.9998738408088684
167,comunità,unité,0.9999889075756072,0.9383492648601532
168,forst,forstes,1.0,1.0
169,streckn,strecke,0.8627125293016433,0.9228671312332152
170,niedabayern,niederbayern,0.9998055636882782,1.0
171,duachfliassd,durchfließt,0.9922063410282136,0.9999996364116668
172,existian,gibt,0.9991819322109222,0.9994445979595185
173,fraun,frauen,0.974129182100296,0.959174770116806
174,poss'n,posse,0.9999999933772616,1.0
175,ital,italienisch,0.9999998675452338,0.9999991456667582
176,duachqueat,durchquert,0.8125523229440054,0.9619384275542364
177,zletzt,zuletzt,0.8652121755811903,0.9976303511195712
178,landshuad,landshut,0.9999692373805577,1.0
179,bayern,bayerns,0.9337103764216104,1.0
180,is,trat,0.8783780766857995,0.92927286028862
181,worn,worden,0.9950422445933024,0.9997519122229682
182,zentrum,zentrums,1.0,1.0
183,umgliedat,umgegliedert,0.9999484618504842,0.9999999933772616
184,gibt's,gibt,1.0,1.0
185,vaeinigung,vereinigung,0.8835637039608426,0.9985805749893188
186,wovo,wovon,0.978180037604438,0.9999999867545234
187,gschriem,geschrieben,0.8943374421861436,0.9342617326312594
188,spanien,spaniens,0.998226371076372,1.0
189,obschnitt,abschnitt,0.9827100170983208,0.9997319645351834
190,kirchli,kirchlich,0.9999948938687644,1.0
191,noadwestlichn,nordwestlichen,0.9410867492357888,0.989931172794766
192,sprochn,sprachen,0.4915983759694629,0.9334160619311862
193,ort,pfarrdorf,0.9999775290489196,0.9996349546644424
194,gmoafrein,gemeindefreien,0.815056536346674,0.9774682074785233
195,beteiligtn,beteiligten,0.9999998584389688,1.0
196,ostweats,ostwärts,0.9999224990606308,1.0
197,president,präsident,0.9999891221523284,0.999990016222
198,kloagschrim,kleingeschrieben,0.9968314915895462,0.9979528114199638
199,gmoavabindungsstroßn,gemeindeverbindungsstraßen,1.0,0.999999299645424
200,offizieje,offizielle,0.9889091551303864,0.8644243851304054
201,schriftsysdems,schriftsystems,1.0,1.0
202,indien,südindischen,0.9998036995530128,0.9558274149894714
203,seitn,seite,0.9311559051275252,0.9984748885035516
204,pfahofa,pfaffenhofen,0.9997852891683578,1.0
205,wichtigsde,wichtigste,0.9966657012701036,0.9018654450774192
206,is,stand,0.9806143939495088,0.999654360115528
207,baut,erbaut,0.9800522848963736,0.9916857555508614
208,entsendn,entsenden,1.0,1.0
209,uim,ilm,0.9962231367826462,1.0
210,nestroy,nestroys,0.9999999925494194,1.0
211,wohnplätz,wohnplätze,0.9999956786632538,0.9999998211860656
212,historischa,historischer,0.9978773593902588,0.9999994039535522
213,mitglieda,mitglieder,0.9748608320951462,0.999969720840454
214,voiständig,vollständig,0.8803037293255329,0.9168935790657996
215,landesweitn,landesweiten,1.0,1.0
216,spanischn,spanischen,0.9719531536102296,0.9999991282820702
217,entstähd,entsteht,0.9996264651417732,0.99484770745039
218,schogau,schongau,0.7738393917679787,0.9848316088318824
219,gnutzt,genutzt,0.9904040694236756,0.877515584230423
220,hod,stammt,0.9069808945059776,0.8799746818840504
221,schiffboa,schiffbar,0.9999999850988388,1.0
222,östareichischn,österreichischen,0.9994804337620736,0.9032341912388802
223,kloabuachstob,kleinbuchstabe,0.971045583486557,0.9989981651306152
224,demokratischn,demokratischen,0.9999979734420776,0.9993127073560444
225,aostatoi,aostatals,1.0,1.0
226,trogt,trägt,0.9625808937208992,0.9998258778027126
227,uahzeigrsinn,uhrzeigersinn,0.999998756817409,0.9999998211860656
228,gebiagszug,gebirgszug,0.9999985269137792,1.0
229,oiphabet,alphabet,0.7788248828479222,0.8808247872761318
230,distrikt,distrikts,0.9658882362501962,0.9999970367976596
231,jütland,jütlands,1.0,1.0
232,funktiona,funktionen,0.994772093636649,0.9979444912501744
233,gleichn,gleichen,0.8842248235430036,0.999967770917075
234,eihwohnazoin,einwohnerzahlen,0.7499681455748421,0.8334089773041862
235,ortskern,ortskerns,1.0,1.0
236,bauli,baulich,0.9999836002077376,1.0
237,italianisiatn,italianisierten,1.0,1.0
238,gehd,geht,0.9266349843570164,0.9657063909939356
239,wichtigstn,wichtigsten,0.9765891688210624,0.996175161429814
240,bedeckd,bedeckt,0.9964698212487356,1.0
241,sidestlichn,südöstlichen,0.9083004253251212,0.9956716128758022
242,orts,ortes,1.0,0.9999988930565972
243,departement,departements,1.0,1.0
244,italienischa,italienischer,0.9155085938317435,0.9999731523650032
245,geändat,geändert,0.935191001210894,0.8457001362528119
246,vaoanigung,vereinigung,0.8384678874697004,0.9971849662917
247,sinn,sinne,0.9999999829701016,0.9999997360365732
248,ort,kirchdorf,0.999778653894152,0.9664877567972456
249,stichstroß,stichstraße,1.0,1.0
250,danoch,danach,0.8806019595691136,0.9412388120378766
251,jeweis,jeweils,0.980978080204555,0.972186803817749
252,gebiet,gebietes,0.9998209135872976,0.9994958894593376
253,gibd's,gibt,0.9999601755823408,0.9813033086912972
254,varoaht,verrohrt,0.9991823179381234,0.9999776908329556
255,norwegn,norwegens,0.9463175875799996,0.9992663604872568
256,provinzstroß,provinzstraße,0.9999983140400478,1.0
257,metropoiregion,metropolregion,1.0,1.0
258,groussbuachstob,großbuchstabe,0.9441674181393216,0.985423743724823
259,bundesstoot,bundesstaats,0.9868856498173304,0.9999830211911884
260,entwicklt,entwickelt,0.9999872275761196,0.8427673748561314
261,untagliedad,untergliedert,0.9655397704669408,0.8960128682000297
262,obabayern,oberbayern,0.9864833099501472,1.0
263,gmoavabindungsstroß,gemeindeverbindungsstraße,0.9999999829701016,0.9997742005756924
264,holland,niederlanden,0.9998300075531006,0.9226070301873344
265,weniga,weniger,0.9425881164414542,0.9841992599623544
266,metropoi,metropole,1.0,1.0
267,landkroas,landkreisen,0.9178635861192432,0.9999977946281432
268,bschreibung,beschreibung,0.9363967520850044,0.999400419848306
269,ausgongspunkt,ausgangspunkt,0.9989359974861144,0.999999795641218
270,lafft,läuft,0.8713749732289996,0.9722467405455452
271,untamain,untermain,0.9990446737834384,0.935964822769165
272,näxde,nächste,0.8917823093278068,0.9683009896959576
273,ausgem,ausgegeben,0.9970245105879648,1.0
274,rajon,rajons,0.995730629989079,0.9999993188040596
275,quejgebiet,quellgebiet,0.9997068388121468,1.0
276,bevejkarungsdichte,bevölkerungsdichte,0.999999701976776,1.0
277,dreiländaeck,dreiländerecke,0.9992724571909224,0.999997011252812
278,fliaßta,fließt,0.974620282649994,0.9958786623818534
279,codepunktn,codepunkten,0.9999999914850508,1.0
280,leitd,leitet,0.9868801661900112,0.9992994240352084
281,hähnzug,höhenzug,0.9999892371041434,0.9996869223458428
282,renoviat,renoviert,0.9999993443489076,0.9999998978206088
283,gmoabstond,gemeindebestand,0.9989148889269148,1.0
284,endt,endet,0.9992787327085224,0.9360224519457137
285,indischn,indischen,1.0,1.0
286,aubach,aubachs,1.0,1.0
287,noadwestliche,nordwestliche,0.9927376764161246,0.9999155402183532
288,is,blieb,0.9912935098012288,0.9870364566644032
289,vawoitungseihheitn,verwaltungseinheiten,0.8013398249944051,0.9825503826141356
290,hinzua,hinzu,0.993394136428833,1.0
291,sizilien,siziliens,0.9968843758106232,1.0
292,ossa,osser,0.9995879530906676,0.999999890724818
293,voaspessart,vorspessart,1.0,0.9998980661233268
294,ort,gemeindeteil,0.9990314344565072,0.996007631222407
295,herrn,herren,0.9974708755811056,0.9834754168987274
296,valaffandn,verlaufenden,0.977991650501887,0.9983886082967124
297,stähd,steht,0.9879050354162852,0.8599042097727457
298,eignständige,eigenständige,0.9829768935839336,0.9378888110319772
299,ostnoadestli,ostnordöstlich,0.999996453523636,0.999998778104782
300,distrikt,distrikte,0.8886892199516296,0.8882814745108286
301,westweats,westwärts,0.99999870856603,1.0
302,roudwein,rotwein,0.9999985694885254,1.0
303,ortn,orten,0.9803844690322876,0.9983493288358052
304,california,kalifornien,0.9992477794488271,0.9999999602635702
305,gmoarät,gemeinderäte,0.9964266022046409,1.0
306,hofn,hafen,0.7629672040541967,0.982513835032781
307,starnberga,starnberger,1.0,1.0
308,portugiesischn,portugiesischen,0.9999999602635702,0.999999890724818
309,wendd,wendet,0.9875407914320627,0.9999754230181376
310,sidlichste,südlichste,0.9999808371067048,1.0
311,umwondlung,umwandlung,0.9560009241104126,1.0
312,holländisch,niederländisch,0.9999995132287344,0.9999956885973612
313,poin,polen,0.8252701361974081,0.8109394808610281
314,benennt,benannt,0.9999765356381736,0.9514151612917582
315,vawendung,verwendung,0.9708899160226186,0.8901217381159464
316,gebuatsort,geburtsort,0.999998152256012,0.9999996821085612
317,eahebt,erhebt,0.5569664686918259,1.0
318,schottischn,schottischen,0.9999971787134806,1.0
319,is,gehört,0.88461305697759,0.9922208587328591
320,bezeichnunga,bezeichnungen,0.9511248171329498,0.9999997119108835
321,demnoch,demnach,0.8117245237032572,1.0
322,bekonnde,bekannte,0.8761451343695322,0.9374931752681732
323,sidöstliche,südöstliche,0.8225350081920624,0.9999999602635702
324,innaitalienische,inneritalienische,1.0,1.0
325,markt,marktes,1.0,0.9999939799308776
326,ligurischn,ligurischen,0.8083224147558212,0.9059526026248932
327,katholikn,katholiken,0.9839443266391754,0.9999999602635702
328,noadostbayern,nordostbayern,1.0,1.0
329,zammfliaßt,zusammenfließt,0.999843736489614,1.0
330,niedaschlesien,niederschlesien,1.0,1.0
331,archipel,archipels,1.0,1.0
332,oiphabets,alphabets,0.9996563891569772,0.9984082877635956
333,norwegn,norwegen,0.999854346116384,0.9994608561197916
334,kiaberg,kirchberg,0.9813523391882578,0.9999992350737252
335,ärmlkanoi,ärmelkanal,0.999999056259791,1.0
336,mexikanischn,mexikanischen,0.999999225139618,0.9999999900658926
337,ludwigsthoi,ludwigsthal,0.9957345128059388,0.9999998609224956
338,zentroi,zentral,0.985499233007431,0.9999999900658926
339,nechste,nächste,0.9988845586776732,0.5014586051305135
340,zuanohme,zunahme,0.7895950227975845,0.9999999403953552
341,landesgrenz,landesgrenze,1.0,1.0
342,eascheint,erscheint,0.8566107273101806,0.8293135762214661
343,großstod,großstadt,0.967104470729828,1.0
344,integriat,integriert,1.0,0.990725040435791
345,universitet,universität,0.999981927871704,0.9999991655349731
346,militärischn,militärischen,0.99930899143219,0.9936688303947449
347,gliedat,gegliedert,0.7703335344791412,0.9992323756217956
348,pazifischn,pazifischen,0.9999799847602844,1.0
349,stodzentrum,stadtzentrum,0.9454875349998474,0.9999999880790712
350,neieihteiung,neueinteilung,0.99981586933136,1.0
351,neigliedarung,neugliederung,0.6960102438926696,1.0
352,gleichzeidig,gleichzeitig,0.9930495858192444,0.8532123923301697
353,bezeigt,bezeugt,0.9661899209022522,1.0
354,zentroimassiv,zentralmassiv,1.0,1.0
355,sidlichstn,südlichsten,0.9859640002250672,0.9995078206062316
356,landwiatschoft,landwirtschaft,0.7631302893161773,0.7896927952766418
357,mühlboch,mühlbach,0.999999952316284,1.0
358,ortstei,ortsteiles,0.9340330481529237,0.9983330249786376
359,unobhängigkeit,unabhängigkeit,0.9000227570533752,0.973037338256836
360,ortsteil,gemeindeteil,0.7762862801551819,0.8426806807518006
361,bundesstroßn,bundesstraßen,0.9999995112419128,0.9360150575637818
362,obwoi,obwohl,0.8896061182022095,0.9634532570838928
363,stodrechte,stadtrechte,0.825019508600235,1.0
364,nomanswurzl,namenswurzel,0.9999998688697816,1.0
365,baut,errichtet,0.9821606278419496,0.978523600101471
366,eisnbohlinie,eisenbahnlinie,0.9998662590980528,0.9998992204666136
367,ostgstod,ostküste,0.9999999046325684,0.9999950289726256
368,antikn,antiken,0.9884566783905028,0.9260566830635072
369,grindte,gegründete,0.8990200519561767,0.9932046055793762
370,ungarn,ungarns,0.999959433078766,1.0
371,bundesland,bundeslandes,0.9999630689620972,0.9999984502792358
372,groußn,grossen,0.9999988079071044,0.996362841129303
373,traunstoa,traunstein,1.0,1.0
374,berchtsgoana,berchtesgadener,0.9998599171638488,1.0
375,großa,großer,0.8796695530414581,0.9989786624908448
376,trennd,trennt,0.8092930436134338,1.0
377,drittgreßte,drittgrößte,1.0,1.0
378,baud,gebaut,0.9985332369804384,0.970650064945221
379,stommd,stammt,0.873219084739685,0.9174494862556456
380,komika,komiker,0.9999959230422972,1.0
381,ghearnda,gehörender,0.9750415802001952,1.0
382,stråß'n,straße,0.913159477710724,0.9954337239265442
383,bohstation,bahnstation,0.8436081349849701,1.0
384,haptstroß,hauptstraße,0.8060175538063049,0.9999178290367128
385,prägt,geprägt,0.996136510372162,0.9192046165466308
386,freia,freier,0.9999998331069946,0.9931648254394532
387,system,systems,1.0,1.0
388,landesinnan,landesinneren,1.0,1.0
389,unterfränkischn,unterfränkischen,1.0,1.0
390,australischn,australischen,1.0,0.9982854127883912
391,städtpartnaschoft,städtepartnerschaft,0.9997892498970032,0.9999999642372132
392,arrondissement,arrondissements,0.8951202750205993,0.9999999165534972
393,amtle,amtlich,0.9999999880790712,1.0
394,dänisch,dän,0.9999987483024596,1.0
395,rechtsnochfoigarin,rechtsnachfolgerin,0.999999976158142,1.0
396,falklandinsln,falklandinseln,0.9995693564414978,1.0
397,stückl,stück,0.9999996185302734,0.999757719039917
398,départementsstroß,départementsstraße,1.0,1.0
399,existian,existieren,0.9913414120674132,0.9977900981903076
400,brasilianischn,brasilianischen,0.9999998450279236,1.0
401,hod,grenzte,0.9923597574234008,0.9740950226783752
402,doafgemarkung,dorfgemarkung,1.0,1.0
403,afglestn,aufgelösten,0.8869647979736328,0.9994436621665954
404,gsomtbevejkarung,gesamtbevölkerung,0.9530309438705444,1.0
405,romstoa,rabenstein,0.9932971119880676,0.9725396633148192
406,frz,französisch,0.9280530095100404,0.9997615814208984
407,is,wuchs,0.993384611606598,0.9999727606773376
408,houchebene,hochebene,0.9166589856147768,1.0
409,maximoi,maximal,0.9999961972236632,0.997389042377472
410,hoitepunkt,haltepunkt,0.8897670269012451,1.0
411,bischof,bischofs,1.0,0.9999999880790712
412,dazu,hinzu,0.9999998331069946,0.999999713897705
413,akt,akten,1.0,1.0
414,bsteht,liegen,0.9998816609382628,0.7668209493160247
415,protestantn,protestanten,0.999999952316284,1.0
416,hod,stellte,0.7963972806930542,0.9999545454978944
417,stootsstroßn,staatsstraßen,0.998168194293976,0.9997663617134094
418,zuagschlong,zugeschlagen,0.999997591972351,0.9999931454658508
419,längare,längere,0.871263062953949,0.9472647905349731
420,weißn,weißen,0.9999849677085876,0.9813231825828552
421,filialkirch,filialkirche,1.0,1.0
422,passiat,passiert,0.9794143080711364,1.0
423,dekanat,dekanaten,0.9030162930488588,0.9997020483016968
424,tyrrhenischn,tyrrhenischen,1.0,1.0
425,uakundliche,urkundliche,0.998298180103302,0.9994007468223572
426,ehemoligs,ehemaliges,0.9455933094024658,1.0
427,countyvawoitung,countyverwaltung,0.862118661403656,0.9985382437705994
428,flusslaff,flusslauf,0.9987751722335816,0.9999999880790712
429,bäch,bäche,0.999998903274536,1.0
430,nochboagemarkunga,nachbargemarkungen,0.9999658226966858,1.0
431,dohea,daher,0.6808388590812683,0.9170827627182008
432,schuihaus,schulhaus,0.9946714758872984,1.0
433,onsiedlung,ansiedlung,0.979534673690796,0.9997941732406616
434,aufgfiaht,aufgeführt,0.4696435093879699,0.9696785688400268
435,italienisch,italien,0.9999999046325684,1.0
436,nochdem,nachdem,0.7211034297943115,0.9024007201194764
437,franzesische,französischer,0.9685938358306884,0.96435204744339
438,steht,befindet,0.9101278781890868,0.9736339330673218
439,greisfreien,kreisfreien,0.9999998450279236,1.0
440,gedenkdog,gedenktag,0.999948275089264,0.9999934792518616
441,schreibweisn,schreibweisen,0.9999912977218628,1.0
442,eihgfiaht,eingeführt,0.6481666415929794,0.9316442608833312
443,joa,jahre,0.7470500320196152,0.964449018239975
444,sognennte,sogenannte,0.9995010495185852,0.99706269800663
445,vawoitungsmäßig,verwaltungsmäßig,0.9572264850139618,1.0
446,japanischn,japanischen,0.9995983242988586,0.9999722540378572
447,gunzenhausn,gunzenhausen,1.0,1.0
448,neadlichste,nördlichste,1.0,1.0
449,vawoitungsgrofschoft,verwaltungsgrafschaft,0.9763365238904952,0.9999999850988388
450,entwickld,entwickelt,0.9994862228631972,0.8620021939277649
451,ort,einöde,0.91994109749794,0.6833299100399017
452,jed's,alljährlich,0.5130462646484375,0.7091651558876038
453,joar,jahres,0.9081253856420516,0.8869353383779526
454,zentroianatolien,zentralanatolien,1.0,1.0
455,nordwestlicha,nordwestlicher,0.9999959766864776,1.0
456,hahnenkamm,hahnenkamms,1.0,1.0
457,donem,daneben,0.4884020313620567,0.9593027234077454
458,hafenlohrtoi,hafenlohrtal,1.0,0.9999999850988388
459,silberboch,silberbach,1.0,1.0
460,westhong,westhang,1.0,1.0
461,eihgmoanunga,eingemeindungen,0.8835888504981995,0.9439910352230072
462,nebn,neben,0.9999996274709702,0.9898259788751602
463,lutherischn,lutherischen,1.0,1.0
464,buchtn,buchten,0.9999952912330629,1.0
465,franzesischsprochign,französischsprachigen,0.9923255890607834,0.999739706516266
466,plottn,platte,0.6648958176374435,0.7965202778577805
467,gsomtläng,gesamtlänge,0.9232358634471892,1.0
468,liegds,liegt,0.5813917219638824,0.9996809810400008
469,wejdweit,weltweit,0.9977546334266664,0.9977939426898956
470,gleichnomige,gleichnamige,0.8850480318069458,1.0
471,westantarktischn,westantarktischen,1.0,1.0
472,urspringlichn,ursprünglichen,0.986276552081108,0.8163810521364212
473,kommunoin,kommunalen,0.6749990731477737,1.0
474,vatretarin,vertreterin,0.9999949187040328,1.0
475,kompetenzn,kompetenzen,0.999613791704178,1.0
476,sognenntn,sogenannten,0.898865357041359,0.9544412940740584
477,duachfliaßtn,durchfließt,0.9994495064020156,0.9999999850988388
478,guad,gut,0.7539857923984528,0.9309467822313308
479,campingplotz,campingplatz,0.999922811985016,1.0
480,stootsrecht,staatsrecht,0.9688812494277954,0.9970409274101256
481,teid,teilt,0.8023460619151592,0.8681086078286171
482,river,rivers,0.9998147785663604,0.99982950091362
483,arabischn,arabischen,0.9999999850988388,1.0
484,stootsgebiet,staatsgebietes,0.9999999552965164,0.999999925494194
485,nam,namens,0.7039829269051552,0.9896112978458405
486,nochboarajone,nachbarrajone,1.0,0.9999927878379822
487,polarfoascha,polarforschers,0.9980549514293672,0.9999999403953552
