Bavarian,German,Meaning
Jeds Joar treffn se de CWG-Midglieda zwoa Moi: af ana Fruahjoarskonfarenz in Eiropa und af ana Hiachstkonfarenz in Noadamerika.,Jedes Jahr treffen sich die CWG-Mitglieder zweimal: auf einer Frühjahrskonferenz in Europa und auf einer Herbstkonferenz in Nordamerika.,5.0
Greßta Ort is Darfo Boario Terme.,Größter Ort ist Darfo Boario Terme.,5.0
"Anno 1764 is am ""Behmweg"" fia de ""Säuma"" aus ana Schutzhittn, de feste Schutz- und Eikehrstät ""Zwiesla Woidhaus"" baut worn.","Aus einer Schutzhütte entstand 1764 am sogenannten Böhmweg für die Säumer die feste Schutz- und Einkehrstätte ""Zwieseler Waldhaus"".",5.0
"In da Hohenzollern Biathlonarena san 2004, 2008 und 2011 de deitschn Moasdaschaftn im Summabiathlon ausdrong worn, 2011 mit 1300 Midmocha.","Im zugehörigen Hohenzollern-Skistadion wurden 2004, 2008 und 2011 die deutschen Meisterschaften im Sommerbiathlon ausgetragen, 2011 mit 1300 Teilnehmern.",5.0
Sonderhof gheat zua Pforrei Sankt Vitus in Huisheim.,Sonderhof gehört zur Pfarrei Sankt Vitus in Huisheim.,5.0
Da buigarische Zentroistoot bstähd seit 1999 aus 28 Vawoitungsbeziake (Oblaste).,Der bulgarische Zentralstaat besteht seit 1999 aus 28 Verwaltungsbezirken (Oblaste).,5.0
Da Ort werd easchtmois 1525 im Zammhong midm Oberamt Wettenhausen gnennt.,Der Ort wird erstmals 1525 im Zusammenhang mit dem Oberamt Wettenhausen genannt.,5.0
"De Nochboagmoana san: Campofelice di Roccella, Cefalù, Collesano und Gratteri.","Die Nachbargemeinden sind Campofelice di Roccella, Cefalù, Collesano und Gratteri.",5.0
Dieppe is a Stod om Petitcodiac River mid 23.310 Eihwohna im Sidostn vo da kanadischn Provinz New Brunswick.,Dieppe ist eine Stadt am Petitcodiac River mit 25.384 Einwohnern (Stand: 2016) im Südosten der kanadischen Provinz New Brunswick.,4.0
"Da Beziak hod a Fläche vo 3.178 Quadratkilometa, dovo san 473 Quadratkilometa Wossafläche.","Es hat eine Fläche von 3.178 Quadratkilometern, wovon 473 Quadratkilometer Wasserfläche sind.",5.0
De Rusa entspringd om Rond van Moskaua Hähnruckn in da Oblast Smolensk unweid vo da Grenz za Oblast Moskau.,Die Rusa entspringt am Rande des Moskauer Höhenrückens in der Oblast Smolensk unweit der Grenze zur Oblast Moskau.,5.0
Danoch knickta fia uma 600 Meta noch Westn ob.,Danach knickt er für etwa 600 Meter nach Westen ab.,5.0
"Des entspricht ana prozentualn Obnohme vo 2,9 %.","Dies entspricht einer prozentualen Abnahme von 2,9 %.",5.0
Am 1. Jenna 1976 is de Eihgmoanung in de Gmoa Buchdorf eafoigt.,Am 1. Januar 1976 erfolgte die Eingemeindung in die Gemeinde Buchdorf.,5.0
"Voasitznda vo da Vawoitungsgmoaschoft is Waldemar Brohm, da Buagamoasta vo Margetshöchheim.","Vorsitzender der Verwaltungsgemeinschaft ist Waldemar Brohm, der Bürgermeister von Margetshöchheim.",5.0
2 km neadli valafft de Autobahn A 70 mid da Onschlussstej Werneck (AS 3).,Durch Ettleben führt die Bundesstraße 26. 2 km nördlich verläuft die Autobahn A70 mit der Anschlussstelle Werneck (AS 3).,4.0
Riedhof is a Ortstei vo da obabayerischn Gmoa Egling im Landkroas Bad Däiz-Woifradshausn.,Riedhof ist ein Ortsteil der oberbayerischen Gemeinde Egling im Landkreis Bad Tölz-Wolfratshausen.,5.0
"Heston und Isleworth woan uaspringli Civil parishes in da Harde ""(hundred)"" Isleworth.","Heston und Isleworth waren ursprünglich Civil parishes in der Harde ""(hundred)"" Isleworth.",5.0
Da Delice Çayı (aa: Delice Irmağı) is a rechta Nemfluss vom Kızılırmak in Zentroianatolien (Tiakei).,"Der Delice Çayı (auch ""Delice Irmağı"") ist ein rechter Nebenfluss des Kızılırmak in Zentralanatolien (Türkei).",5.0
"Er mindd gengiwa'n Goidboch in de ""Kahl"".","Er mündet gegenüber dem Goldbach in die ""Kahl"".",5.0
"Demgengiwa bezeichnt ""Methodik"" as Methodnwissn vom Praktika oda vom Wissnschoftla.","Demgegenüber bezeichnet ""Methodik"" das Methodenwissen des Praktikers oder des Wissenschaftlers.",5.0
"Botzenweiler liegt an da Stootsstroß 2218, zwischn Dinkelsbühl und Wassertrüdingen.","Die Staatsstraße 2218 führt zur Bundesstraße 25 bei Dinkelsbühl (1,7 km südwestlich) bzw. nach Sinbronn (1,7 km östlich).",3.0
Costa Masnaga is mid Clonmel in partnaschoftli vabundn.,Costa Masnaga ist mit Clonmel in Irland partnerschaftlich verbunden.,4.0
"Da Ontei on da Gsomtbevejkarung vo Schwedn is da gringste unta de Provinzn und betrogt 0,6 %.","Der Anteil an der Gesamtbevölkerung Schwedens ist der geringste unter den Provinzen und beträgt 0,6 %.",5.0
"Da Birklichsgraben mindt boam Lindenhof nordestli vom Ort in an Grundgraben, wo im estlichn Ort mitm Kettlichsgraben zuam Karbach zsommfliaßt.",Der Karbach entsteht in Billingshausen durch Zusammenfluss von Grundgraben und Kettlichsgraben.,3.0
Da franzesische Journalist Henri Alleg hod Folta und Hoft iwalebd.,Der französische Journalist Henri Alleg überlebte Folter und Haft.,5.0
Olladings is de Neigliedarung 2015 doch umgsetzt und Kasaï-Occidental in zwoa neie Provinzn afteit worn: Kasaï und Kasaï-Central.,Allerdings wurde die Neugliederung 2015 doch umgesetzt und Kasaï-Occidental wurde in zwei neue Provinzen aufgeteilt: Kasaï und Kasaï-Central.,5.0
Haptstod vo Distrikt is Boane.,Hauptstadt des Distrikts ist Boane.,5.0
"1986 hod da Hr. ""Dr. Alfred Maletta"" seine 26% Fiamananteu an em Hr. ""Rudolf Andreas Cuturi"" vakaft.",1986 verkaufte Alfred Maleta seine Anteile und das Unternehmen befindet sich seither zu 100 % in Familienbesitz.,3.0
"On da Bohstreckn Roma Flaminio–Viterbo lieng de Stationa: Catalano, Civita Castellana und Pian Paradiso.","An der Bahnstrecke Roma Flaminio–Viterbo liegen die Stationen Catalano, Civita Castellana und Pian Paradiso.",5.0
Da Ort is Sitz vo da Vawoitungsgmoaschoft Weiding.,Weiding ist eine Gemeinde im Oberpfälzer Landkreis Cham.,3.0
Höselhurst is a Ortstei vo da Gmoa Neuburg an der Kammel im Landkroas Günzburg in Bayern.,Höselhurst ist ein Ortsteil des Marktes Neuburg an der Kammel im Landkreis Günzburg in Bayern.,5.0
Dofia hod vom Arrondissement Béziers de Fläch vo da Gmoa Marseillan zum Arrondissement Montpellier gwexld.,Dafür wechselte vom Arrondissement Béziers die Fläche der Gemeinde Marseillan zum Arrondissement Montpellier.,5.0
De Bsiedlung hod ob 1848 Elbridge Trask (1815–1863) oaganisiad.,Die Besiedlung organisierte ab 1848 Elbridge Trask (1815–1863).,5.0
Ea umfosstn Osttei vom Esquilin mid da Stazione Termini.,Er umfasst den Ostteil des Esquilin mit der Stazione Termini.,5.0
Dee Kreisstroß AN 36 fiaht noch Westheim bzw. noch Leuckersdorf.,"Die Kreisstraße AN 36 führt nach Westheim (0,5 km westlich) bzw. nach Leuckersdorf (1,5 km östlich).",4.0
Martinsholzen is a Ortstei vo da Gmoa Berg im obabayerischn Landkroas Starnberg.,Martinsholzen ist ein Ortsteil der Gemeinde Berg im oberbayerischen Landkreis Starnberg.,5.0
Sitz vo da Vawoitungsgmoaschoft is Reichertshofen.,Sitz der Verwaltungsgemeinschaft ist Reichertshofen.,5.0
Bis zan 31. Dezemba 2005 hod aa da Kanton Ay zan Arrondissement ghead.,Bis zum 31. Dezember 2005 gehörte auch der Kanton Ay zum Arrondissement.,5.0
Da Ort liegt af ana Häh vo 417 m iwam Meearesspiagl.,Der Ort liegt auf einer Höhe von 417 m über dem Meeresspiegel.,5.0
Da Østensjøsee is seit 1992 a Natuareservat.,Der Østensjøsee ist seit 1992 ein Naturreservat.,5.0
"Da ""Gregg Allman"" und da ""Dickey Betts"" san no Solo untawegs gwen.",Gregg Allman und Dickey Betts starteten Solokarrieren.,5.0
"Se zejt uma 200.000 Sprecha und gheat zua de Gur-Sprochn, oana Untagruppn vo de Niger-Kongo-Sprochn.","Sie zählt etwa 200.000 Sprecher und gehört zu den Gur-Sprachen, einer Untergruppe der Niger-Kongo-Sprachen.",5.0
"De äjdaste eahoitane Eawähnung vo Albstadt findt se in oana Urkunde ausm Joar 1244 ois ""Albestat"".","Die älteste erhaltene Erwähnung von Albstadt findet sich in einer Urkunde aus dem Jahr 1244 als ""Albestat"".",5.0
Vatreta im Generoirod vom Département woa ob 2008 Michel Paumier (dvd).,Vertreter im Generalrat des Départements war ab 2008 Michel Paumier (DVD).,5.0
Bis heit doaln se d Geddinna d Hawaii-Insel (d gressde Insl vom Bundesstoot Hawaii).,Bis heute teilen sie sich die beiden Göttinnen die Hawaii-Insel.,4.0
Den aun den schmehlign Friadnsvatrog homs de Franzosn d`Schuid gem.,"In der Schweiz ist die am häufigsten gefälschte Münze der Fünfliber, die 5-Franken-Münze.",1.0
Bourbon County is a Beziak im Bundesstoot Kansas in da USA.,Bourbon County ist ein County im Osten des Bundesstaates Kansas.,5.0
Porto Cesareo grenzd unmiddlboa on de Provinz Tarent.,Porto Cesareo grenzt unmittelbar an die Provinz Tarent.,5.0
Sitz vo da Vawoitungsgmoaschoft is Margetshöchheim.,Sitz der Verwaltungsgemeinschaft ist Margetshöchheim.,5.0
An Bad Bayersoien voabei glongt ma noch Saulgruab.,An Bad Bayersoien vorbei gelangt man nach Saulgrub.,5.0
Im Dezember 1842 hoda noch Streitarein mit de Aktionären sein Direktorenpostn afgehm.,Im Dezember 1842 gab er nach Streitigkeiten mit den Aktionären seinen Direktorenposten auf.,5.0
1927 woa ea Weaksfoahra ba Salmson.,1927 war er Werksfahrer bei Salmson.,5.0
"De Nochboagmoana san: Algua, Costa Serina, San Pellegrino Terme und Zogno.","Die Nachbargemeinden sind Algua, Costa Serina, San Pellegrino Terme und Zogno.",5.0
"Wessantlicha Untaschied is, dass de Vafassung reglmäße aschwert obgändat wern konn.","Wesentlicher Unterschied ist, dass die Verfassung regelmäßig erschwert abgeändert werden kann.",5.0
Se bsteht aus de Ortstei: Sonvico und Dino.,Sie besteht aus den Ortsteilen Sonvico und Dino.,5.0
Bei Eschau untaqueat da Aubach de Stootsstroß 2308 und mindt vo links in de Elsava.,Unterhalb von Eschau unterquert der Aubach die Staatsstraße 2308 und mündet von links in die Elsava.,5.0
Da Sitz vo da Vawoitung is Bardstown.,"Der Verwaltungssitz (County Seat) ist Bardstown, das nach ""William Bard"", einem Förderer der Stadt benannt wurde.",3.0
1691 is an ihra Stej a Kiach earicht worn.,1691 wurde an ihrer Stelle eine Kirche errichtet.,5.0
Seitm 1. Jenna 1977 is Unterwittbach a Ortstei vo Kreuzwertheim.,Im Januar 1977 wurde Unterwittbach nach Kreuzwertheim eingemeindet.,4.0
Unterbreitenau is a Ortstei vo da Gmoa Geslau im Landkroas Ansbach in Middlfrankn.,"Unterbreitenau ist ein Gemeindeteil der Gemeinde Geslau im Landkreis Ansbach (Mittelfranken, Bayern).",4.0
Di Ermittlung dea Geschwindigkeitskomponentn in dea Buidebene glingt duach de Berechnung dea Kreizkorrelationsfunktion zwischn benachbartn Buidbereichn in beidn Buidan.,Die Ermittlung der Geschwindigkeitskomponenten in der Bildebene gelingt durch die Berechnung der Kreuzkorrelationsfunktion zwischen benachbarten Bildbereichen in beiden Bildern.,5.0
"Af Neahrbödn buidt da Puiz watteoatige und schoaf begrenzte Kolonien, de znächst cremeweiß, spada orange-gejbli gfeabt san.","Auf Nährböden bildet der Pilz watteartige und scharf begrenzte Kolonien, die zunächst cremeweiß, später orange-gelblich gefärbt sind.",5.0
"Seit 1979 ghean diese zum UNESCO-Kuituaeabe """".","Seit 1979 gehören diese zum UNESCO-Kulturerbe """".",5.0
Auf weidern Kanäln wia PietSmiet TV und Frog PietSmiet wern aa Videos zua computerschbuiferna Thema houchglon.,"Auf weiteren Kanälen wie ""PietSmiet TV"" und ""Frag PietSmiet"" werden auch Videos zu computerspielfernen Themen hochgeladen, wie etwa Reacts.",4.0
Rottnersdorf is a Ortstei vom Moakt Bechhofen im Landkroas Ansbach in Middlfrankn (Bayern).,"Rottnersdorf ist ein Gemeindeteil des Marktes Bechhofen im Landkreis Ansbach (Mittelfranken, Bayern).",5.0
Weisbach liegt sidwestli vo Oberelsbach.,Weisbach ist ein Gemeindeteil des unterfränkischen Marktes Oberelsbach im Landkreis Rhön-Grabfeld.,3.0
"De Ortstei hoaßn: Cortale, Qualso, Reana, Remugnano, Ribis, Rizzolo, Valle, Vergnacco und Zompitta.","Die Ortsteile heißen Cortale, Qualso, Reana, Remugnano, Ribis, Rizzolo, Valle, Vergnacco und Zompitta.",5.0
Laurel County is a Beziak im Bundesstoot Kentucky in da USA.,Laurel County ist ein County im Bundesstaat Kentucky der Vereinigten Staaten.,5.0
Im Beckareimaschiinabau wead in Automatiklinien bei Geaschränkn und Bocköfn aa vo Owa- oda Untatrum gsprochn.,Im Bäckereimaschinenbau wird in Automatiklinien bei Gärschränken und Backöfen auch von Ober- oder Untertrum gesprochen.,5.0
"Da Hemsbach duachfliaßtn Ort Richtung Nordostn, und werd vo drei weitan Bächn vasteakt.",Der Hemsbach durchfließt den Ort Richtung Nordosten und wird von drei weiteren Bächen verstärkt.,5.0
"Midm Gmoaedikt is Bettwar a politisch eignständige Gmoa worn, zu dea da Ort Possenmühle gheat hod.","Mit dem Gemeindeedikt (frühes 19. Jh.) wurde der Steuerdistrikt Bettwar gebildet, zu dem Possenmühle und Tauberscheckenbach gehörten.",3.0
De Sortn Barbera werd zua Eazeigung des Barbera del Monferrato zong.,Die Sorte Barbera wird zur Erzeugung des Barbera del Monferrato gezogen.,5.0
"Hapteihnohmequej is da Tourismus mid Marina de Ascea, oam fosd ausschliassli touristisch gnutzdn Bodeort mid long zongna Sondstrond.","Haupteinnahmequelle ist der Tourismus mit Marina de Ascea, einem fast ausschließlich touristisch genutzten Badeort mit lang gezogenem Sandstrand.",5.0
Se is da Vawoitungssitz (County Seat) vom Lewis County und de Hoamat vom West Virginia Museum of American Glass.,Sie ist der County Seat des Lewis County und die Heimat des West Virginia Museum of American Glass.,5.0
"Vielleicht bedeita „wuids Wossa, Gießboch oda Schlucht“.","Vielleicht bedeutet er „wildes Wasser, Gießbach oder Schlucht“.",5.0
"As Gmoagebiet umfossd a Fläch vo 23,36 km².","Das Gemeindegebiet umfasst eine Fläche von 23,36 km².",5.0
"Des Ы (Kloabuachstob ы) is a Buachstob des kyrillischn Oiphabets, im russischn Oiphabet stäid ea an dea 29. Stej.","Das Ы (Kleinbuchstabe ы) ist ein Buchstabe des kyrillischen Alphabets, im russischen Alphabet steht er an der 29. Stelle.",5.0
"Da Ort werd 1274 ois ""Bullingspach"" easchtmois nomantli eawähnt.",Der Ort wurde 1274 als „Bullingspach“ erstmals namentlich erwähnt.,5.0
Da Park liegt am Westufa vom Housatonic River.,Der Park liegt am Westufer des Housatonic River.,5.0
Da hohe vagletschade Beg bfindd se im Distrikt Ganderbal – 40 km neadli vo da im Kaschmirtoi glengna Stod Srinagar.,Der hohe vergletscherte Berg befindet sich im Distrikt Ganderbal – 40 km nördlich der im Kaschmirtal gelegenen Stadt Srinagar.,5.0
"Nochm Zammfluss vo de Quejbäch valafft da ""Bruchbach"" noch Westn zum Fledermauswintaquartia vo Kleinostheim.","Nach dem Zusammenfluss der Quellbäche verläuft der ""Bruchbach"" nach Westen zum Fledermauswinterquartier von Kleinostheim.",5.0
Bis zua Gebietsreform in Bayern (1. Jenna 1972) hod da Ort zua ehemois sejbstständign Gmoa Breitenau gheat.,Im Zuge der Gebietsreform wurde Zischendorf am 1. Januar 1972 nach Feuchtwangen eingemeindet.,2.0
Im Zug vo da Gebietsreform in Bayern is diese am 1. Juli 1971 noch Herrieden eihgmoant worn.,Im Zuge der Gebietsreform in Bayern wurde diese am 1. Juli 1971 nach Herrieden eingemeindet.,5.0
"In Aramengo wern Rebn vo da Sorte Barbera fian Barbera d’Asti, an Roudwein mid DOCG Status ogbaut.","In Aramengo werden Reben der Sorte Barbera für den Barbera d’Asti, einen Rotwein mit DOCG Status angebaut.",5.0
Erlbach is 1972 zamm mid da Gmoa Niederhofen noch Oettingen eihgmoant worn.,Erlbach wurde 1972 zusammen mit der Gemeinde Niederhofen nach Oettingen eingegliedert.,5.0
"Do sticht de Galionsfigua raus: Pedro, dea fost af oin „Billboards“ eascheint.","Hier sticht die Galionsfigur heraus: Pedro, der fast auf allen „Billboards“ erscheint.",5.0
"93,9 % vo de Eihwohna hom weiße Hautfoab, an zwoata Stej kema US-amerikanische Ureihwohna mid 3,5 %.","93,9 % der Einwohner haben weiße Hautfarbe, an zweiter Stelle kommen US-amerikanische Ureinwohner mit 3,5 %.",5.0
Da Kanton Echternach umfosst ocht Gmoana (Eihwohnazoin vom ).,Der Kanton Echternach umfasst sieben Gemeinden (Einwohnerzahlen vom ).,4.0
"A leicht z meaknde Regl zan schnejn Umrechna vo m/s za km/h is: ""Moi via, minus 10%"".","Eine leicht zu merkende Regel zum schnellen Umrechnen von m/s zu km/h ist: „Mal vier, minus 10 %“.",5.0
De Universitet hod heit 35.000 Studentn.,Die Universität hat heute 35.000 Studierende.,5.0
De Gmoa eastreckd se entlong vo da Bohlinie vo Rom noch Neapel in noadost-sidwestlicha Richtung.,Die Gemeinde erstreckt sich entlang der Bahnlinie von Rom nach Neapel in nordost-südwestlicher Richtung.,5.0
"Nochboagmoana san: im Westn Aal Sogn und im Ostn Janderup Sogn, feana in da sidestli benochboadn Esbjerg Kommune Hostrup Sogn.","Nachbargemeinden sind im Westen Aal Sogn und im Osten Janderup Sogn, ferner in der südöstlich benachbarten Esbjerg Kommune Hostrup Sogn.",5.0
Er duachfliaßtn Ort in nordöstliche Richtung und is teiweis varoaht.,Er durchfließt den Ort in nordöstliche Richtung und ist teilweise verrohrt.,5.0
"Spada isa no ""Bischof vo Hildesheim"" gwen und duad a eigrom.",Er wurde später Bischof von Hildesheim und ist dort begraben.,5.0
As Gebiet vo da Gmoa hod scho vo 1920 bis 1939 za da poinischn Woiwodschoft Pommerellen ghead.,Das Gebiet der Gemeinde gehörte bereits von 1920 bis 1939 zur polnischen Woiwodschaft Pommerellen.,5.0
Ea is a im kyrillischn Oiphabet dea jakutischn Sproch in Vawendung.,Er ist der sechste Buchstabe des abchasischen Alphabets (IPA-Aussprache ) und ist auch im Alphabet der jakutischen Sprache in Verwendung.,2.0
"Im Gmoagebiet bfindd se die ""Arena Loire"", a Spoathoi mid 6500 Pläz.","Im Gemeindegebiet befindet sich die ""Arena Loire"", eine Sporthalle mit 6500 Plätzen.",5.0
Unterafferbach is a Ortstei vom Moakt Goldbach im bayerischn Landkroas Aschaffenburg.,Unterafferbach ist Ortsteil des Marktes Goldbach im bayerischen Landkreis Aschaffenburg.,5.0
"De Nochboagmoana san: Barzio, Cassina Valsassina, Morterone, Taleggio (BG) und Vedeseta (BG).","Die Nachbargemeinden sind Barzio, Cassina Valsassina, Morterone, Taleggio (BG) und Vedeseta (BG).",5.0
De Afteilung grousa Datein af mehra Archive is ned voagseng.,Die Aufteilung großer Dateien auf mehrere Archive ist nicht vorgesehen.,5.0
Am 22. Meaz 1913 is'a de Streckn Concepción - Talca gflong.,Am 22. März 1913 flog er die Strecke Concepción – Talca.,5.0
Marienweiher is a Ortstei vo da Gmoa Marktleugast im obafränkischn Landkroas Kulmbach in Bayern.,"Marienweiher ist ein Gemeindeteil des Marktes Marktleugast im Landkreis Kulmbach (Oberfranken, Bayern).",5.0
De Spoatla startn haptsechli vo de Hähn van Markstein und's Drumont.,Die Sportler starten hauptsächlich von den Höhen des Markstein und des Drumont.,5.0
"Im Voiksmund werd da Ort ""Hemsbich"" oda aa ""Hennsbich"" gnennt.","Im Volksmund wird der Ort ""Hemsbich"" oder auch ""Hennsbich"" genannt.",5.0
Om 1. Mai 1978 is de bis dohi sejbstständige Gmoa Biberbach eihgliedad worn.,Im Zuge der Gebietsreform in Bayern wurde am 1. Mai 1978 die Gemeinde Biberbach eingegliedert.,4.0
Vertova liegt am westlichn Ufa vom Serio im zuaghearign Valle Seriana.,Vertova liegt am westlichen Ufer des Serio im zugehörigen Valle Seriana.,5.0
